strain,water_source,micronutrients,elapsed_time_hr,od_600nm,growth_medium,technical_replicate,date,run_number
WT,CCSR,False,0.0,0.03185714285714285,acetate,1,2021-08-06,1
WT,CCSR,False,0.12555555555555564,0.03385714285714285,acetate,1,2021-08-06,1
WT,CCSR,False,0.2511111111111113,0.036000000000000004,acetate,1,2021-08-06,1
WT,CCSR,False,0.3766666666666669,0.038000000000000006,acetate,1,2021-08-06,1
WT,CCSR,False,0.5022222222222226,0.039999999999999994,acetate,1,2021-08-06,1
WT,CCSR,False,0.6277777777777782,0.041999999999999996,acetate,1,2021-08-06,1
WT,CCSR,False,0.7533333333333339,0.045071428571428554,acetate,1,2021-08-06,1
WT,CCSR,False,0.8788888888888895,0.04817857142857142,acetate,1,2021-08-06,1
WT,CCSR,False,1.0044444444444451,0.05092857142857142,acetate,1,2021-08-06,1
WT,CCSR,False,1.1300000000000008,0.05385714285714285,acetate,1,2021-08-06,1
WT,CCSR,False,1.2555555555555564,0.05689285714285715,acetate,1,2021-08-06,1
WT,CCSR,False,1.381111111111112,0.06003571428571429,acetate,1,2021-08-06,1
WT,CCSR,False,1.5066666666666677,0.06289285714285713,acetate,1,2021-08-06,1
WT,CCSR,False,1.6322222222222234,0.0659642857142857,acetate,1,2021-08-06,1
WT,CCSR,False,1.7577777777777772,0.07007142857142855,acetate,1,2021-08-06,1
WT,CCSR,False,1.8833333333333329,0.0739642857142857,acetate,1,2021-08-06,1
WT,CCSR,False,2.0088888888888885,0.07807142857142856,acetate,1,2021-08-06,1
WT,CCSR,False,2.134444444444444,0.08185714285714285,acetate,1,2021-08-06,1
WT,CCSR,False,2.26,0.08585714285714285,acetate,1,2021-08-06,1
WT,CCSR,False,2.3855555555555554,0.09000000000000001,acetate,1,2021-08-06,1
WT,CCSR,False,2.511111111111111,0.09374999999999997,acetate,1,2021-08-06,1
WT,CCSR,False,2.6366666666666667,0.09803571428571427,acetate,1,2021-08-06,1
WT,CCSR,False,0.0,0.03185714285714285,acetate,2,2021-08-06,1
WT,CCSR,False,0.12555555555555564,0.03385714285714285,acetate,2,2021-08-06,1
WT,CCSR,False,0.2511111111111113,0.036000000000000004,acetate,2,2021-08-06,1
WT,CCSR,False,0.3766666666666669,0.038000000000000006,acetate,2,2021-08-06,1
WT,CCSR,False,0.5022222222222226,0.039999999999999994,acetate,2,2021-08-06,1
WT,CCSR,False,0.6277777777777782,0.041999999999999996,acetate,2,2021-08-06,1
WT,CCSR,False,0.7533333333333339,0.045071428571428554,acetate,2,2021-08-06,1
WT,CCSR,False,0.8788888888888895,0.04817857142857142,acetate,2,2021-08-06,1
WT,CCSR,False,1.0044444444444451,0.05092857142857142,acetate,2,2021-08-06,1
WT,CCSR,False,1.1300000000000008,0.05385714285714285,acetate,2,2021-08-06,1
WT,CCSR,False,1.2555555555555564,0.05689285714285715,acetate,2,2021-08-06,1
WT,CCSR,False,1.381111111111112,0.06003571428571429,acetate,2,2021-08-06,1
WT,CCSR,False,1.5066666666666677,0.06289285714285713,acetate,2,2021-08-06,1
WT,CCSR,False,1.6322222222222234,0.0659642857142857,acetate,2,2021-08-06,1
WT,CCSR,False,1.7577777777777772,0.07007142857142855,acetate,2,2021-08-06,1
WT,CCSR,False,1.8833333333333329,0.0729642857142857,acetate,2,2021-08-06,1
WT,CCSR,False,2.0088888888888885,0.07707142857142855,acetate,2,2021-08-06,1
WT,CCSR,False,2.134444444444444,0.08085714285714285,acetate,2,2021-08-06,1
WT,CCSR,False,2.26,0.08485714285714285,acetate,2,2021-08-06,1
WT,CCSR,False,2.3855555555555554,0.08900000000000001,acetate,2,2021-08-06,1
WT,CCSR,False,2.511111111111111,0.09274999999999997,acetate,2,2021-08-06,1
WT,CCSR,False,2.6366666666666667,0.09703571428571427,acetate,2,2021-08-06,1
WT,CCSR,False,0.0,0.03089285714285714,acetate,3,2021-08-06,1
WT,CCSR,False,0.12555555555555564,0.03285714285714285,acetate,3,2021-08-06,1
WT,CCSR,False,0.2511111111111113,0.03485714285714285,acetate,3,2021-08-06,1
WT,CCSR,False,0.3766666666666669,0.036000000000000004,acetate,3,2021-08-06,1
WT,CCSR,False,0.5022222222222226,0.03899999999999999,acetate,3,2021-08-06,1
WT,CCSR,False,0.6277777777777782,0.040999999999999995,acetate,3,2021-08-06,1
WT,CCSR,False,0.7533333333333339,0.043,acetate,3,2021-08-06,1
WT,CCSR,False,0.8788888888888895,0.046071428571428555,acetate,3,2021-08-06,1
WT,CCSR,False,1.0044444444444451,0.04817857142857142,acetate,3,2021-08-06,1
WT,CCSR,False,1.1300000000000008,0.05092857142857142,acetate,3,2021-08-06,1
WT,CCSR,False,1.2555555555555564,0.05385714285714285,acetate,3,2021-08-06,1
WT,CCSR,False,1.381111111111112,0.05689285714285715,acetate,3,2021-08-06,1
WT,CCSR,False,1.5066666666666677,0.06003571428571429,acetate,3,2021-08-06,1
WT,CCSR,False,1.6322222222222234,0.06289285714285713,acetate,3,2021-08-06,1
WT,CCSR,False,1.757777777777779,0.0669642857142857,acetate,3,2021-08-06,1
WT,CCSR,False,1.8833333333333329,0.07007142857142855,acetate,3,2021-08-06,1
WT,CCSR,False,2.0088888888888885,0.0739642857142857,acetate,3,2021-08-06,1
WT,CCSR,False,2.134444444444444,0.07707142857142855,acetate,3,2021-08-06,1
WT,CCSR,False,2.26,0.08085714285714285,acetate,3,2021-08-06,1
WT,CCSR,False,2.3855555555555554,0.08485714285714285,acetate,3,2021-08-06,1
WT,CCSR,False,2.511111111111111,0.08900000000000001,acetate,3,2021-08-06,1
WT,CCSR,False,2.6366666666666667,0.09274999999999997,acetate,3,2021-08-06,1
WT,CCSR,False,2.7622222222222224,0.09703571428571427,acetate,3,2021-08-06,1
WT,CCSR,False,0.0,0.030142857142857124,acetate,4,2021-08-06,1
WT,CCSR,False,0.12555555555555564,0.031071428571428555,acetate,4,2021-08-06,1
WT,CCSR,False,0.2511111111111104,0.03289285714285714,acetate,4,2021-08-06,1
WT,CCSR,False,0.37666666666666604,0.03485714285714285,acetate,4,2021-08-06,1
WT,CCSR,False,0.5022222222222217,0.03685714285714285,acetate,4,2021-08-06,1
WT,CCSR,False,0.6277777777777773,0.03899999999999999,acetate,4,2021-08-06,1
WT,CCSR,False,0.753333333333333,0.040999999999999995,acetate,4,2021-08-06,1
WT,CCSR,False,0.8788888888888886,0.043,acetate,4,2021-08-06,1
WT,CCSR,False,1.0044444444444443,0.045,acetate,4,2021-08-06,1
WT,CCSR,False,1.13,0.04907142857142856,acetate,4,2021-08-06,1
WT,CCSR,False,1.2555555555555555,0.05117857142857142,acetate,4,2021-08-06,1
WT,CCSR,False,1.3811111111111112,0.05292857142857142,acetate,4,2021-08-06,1
WT,CCSR,False,1.5066666666666668,0.055857142857142855,acetate,4,2021-08-06,1
WT,CCSR,False,1.6322222222222225,0.05889285714285715,acetate,4,2021-08-06,1
WT,CCSR,False,1.757777777777778,0.062035714285714263,acetate,4,2021-08-06,1
WT,CCSR,False,1.8833333333333337,0.06589285714285713,acetate,4,2021-08-06,1
WT,CCSR,False,2.0088888888888894,0.0689642857142857,acetate,4,2021-08-06,1
WT,CCSR,False,2.1344444444444433,0.07307142857142855,acetate,4,2021-08-06,1
WT,CCSR,False,2.259999999999999,0.0759642857142857,acetate,4,2021-08-06,1
WT,CCSR,False,2.3855555555555545,0.08007142857142856,acetate,4,2021-08-06,1
WT,CCSR,False,2.51111111111111,0.08385714285714285,acetate,4,2021-08-06,1
WT,CCSR,False,2.636666666666666,0.08785714285714286,acetate,4,2021-08-06,1
WT,CCSR,False,2.7622222222222215,0.09100000000000001,acetate,4,2021-08-06,1
WT,CCSR,False,2.887777777777777,0.09474999999999997,acetate,4,2021-08-06,1
WT,CCSR,False,3.0133333333333328,0.09903571428571427,acetate,4,2021-08-06,1
WT,CCSR,True,0.0,0.03303571428571428,acetate,1,2021-08-06,1
WT,CCSR,True,0.12555555555555564,0.03607142857142856,acetate,1,2021-08-06,1
WT,CCSR,True,0.2511111111111113,0.03899999999999999,acetate,1,2021-08-06,1
WT,CCSR,True,0.3766666666666669,0.04307142857142855,acetate,1,2021-08-06,1
WT,CCSR,True,0.5022222222222226,0.04792857142857142,acetate,1,2021-08-06,1
WT,CCSR,True,0.6277777777777782,0.05292857142857142,acetate,1,2021-08-06,1
WT,CCSR,True,0.7533333333333339,0.05885714285714286,acetate,1,2021-08-06,1
WT,CCSR,True,0.8788888888888895,0.0649285714285714,acetate,1,2021-08-06,1
WT,CCSR,True,1.0044444444444451,0.07214285714285712,acetate,1,2021-08-06,1
WT,CCSR,True,1.1300000000000008,0.08007142857142856,acetate,1,2021-08-06,1
WT,CCSR,True,1.2555555555555555,0.08689285714285715,acetate,1,2021-08-06,1
WT,CCSR,True,1.3811111111111112,0.09485714285714283,acetate,1,2021-08-06,1
WT,CCSR,True,0.0,0.032,acetate,2,2021-08-06,1
WT,CCSR,True,0.12555555555555564,0.03392857142857143,acetate,2,2021-08-06,1
WT,CCSR,True,0.2511111111111104,0.03703571428571428,acetate,2,2021-08-06,1
WT,CCSR,True,0.37666666666666604,0.04007142857142855,acetate,2,2021-08-06,1
WT,CCSR,True,0.5022222222222217,0.044,acetate,2,2021-08-06,1
WT,CCSR,True,0.6277777777777773,0.04807142857142856,acetate,2,2021-08-06,1
WT,CCSR,True,0.753333333333333,0.05292857142857142,acetate,2,2021-08-06,1
WT,CCSR,True,0.8788888888888886,0.057928571428571426,acetate,2,2021-08-06,1
WT,CCSR,True,1.0044444444444443,0.06385714285714283,acetate,2,2021-08-06,1
WT,CCSR,True,1.13,0.06992857142857141,acetate,2,2021-08-06,1
WT,CCSR,True,1.2555555555555555,0.07714285714285712,acetate,2,2021-08-06,1
WT,CCSR,True,1.3811111111111112,0.08407142857142856,acetate,2,2021-08-06,1
WT,CCSR,True,1.506666666666666,0.09089285714285715,acetate,2,2021-08-06,1
WT,CCSR,True,1.6322222222222216,0.09885714285714284,acetate,2,2021-08-06,1
WT,CCSR,True,0.0,0.03,acetate,3,2021-08-06,1
WT,CCSR,True,0.12555555555555564,0.03292857142857143,acetate,3,2021-08-06,1
WT,CCSR,True,0.2511111111111104,0.03503571428571428,acetate,3,2021-08-06,1
WT,CCSR,True,0.37666666666666604,0.03907142857142855,acetate,3,2021-08-06,1
WT,CCSR,True,0.5022222222222217,0.043,acetate,3,2021-08-06,1
WT,CCSR,True,0.6277777777777773,0.047071428571428556,acetate,3,2021-08-06,1
WT,CCSR,True,0.753333333333333,0.05092857142857142,acetate,3,2021-08-06,1
WT,CCSR,True,0.8788888888888886,0.055928571428571425,acetate,3,2021-08-06,1
WT,CCSR,True,1.0044444444444443,0.06185714285714283,acetate,3,2021-08-06,1
WT,CCSR,True,1.13,0.06792857142857141,acetate,3,2021-08-06,1
WT,CCSR,True,1.2555555555555555,0.07414285714285712,acetate,3,2021-08-06,1
WT,CCSR,True,1.3811111111111112,0.08007142857142856,acetate,3,2021-08-06,1
WT,CCSR,True,1.506666666666666,0.08689285714285715,acetate,3,2021-08-06,1
WT,CCSR,True,1.6322222222222216,0.09485714285714283,acetate,3,2021-08-06,1
WT,CCSR,True,0.0,0.03,acetate,4,2021-08-06,1
WT,CCSR,True,0.12555555555555564,0.03292857142857143,acetate,4,2021-08-06,1
WT,CCSR,True,0.2511111111111104,0.03603571428571428,acetate,4,2021-08-06,1
WT,CCSR,True,0.37666666666666604,0.03907142857142855,acetate,4,2021-08-06,1
WT,CCSR,True,0.5022222222222217,0.043,acetate,4,2021-08-06,1
WT,CCSR,True,0.6277777777777773,0.047071428571428556,acetate,4,2021-08-06,1
WT,CCSR,True,0.753333333333333,0.05092857142857142,acetate,4,2021-08-06,1
WT,CCSR,True,0.8788888888888886,0.055928571428571425,acetate,4,2021-08-06,1
WT,CCSR,True,1.0044444444444443,0.06085714285714286,acetate,4,2021-08-06,1
WT,CCSR,True,1.13,0.0669285714285714,acetate,4,2021-08-06,1
WT,CCSR,True,1.2555555555555555,0.07314285714285712,acetate,4,2021-08-06,1
WT,CCSR,True,1.3811111111111112,0.08007142857142856,acetate,4,2021-08-06,1
WT,CCSR,True,1.506666666666666,0.08689285714285715,acetate,4,2021-08-06,1
WT,CCSR,True,1.6322222222222216,0.09385714285714283,acetate,4,2021-08-06,1
WT,Carboy,False,0.0,0.030000000000000013,acetate,1,2021-08-06,1
WT,Carboy,False,0.12555555555555564,0.03089285714285714,acetate,1,2021-08-06,1
WT,Carboy,False,0.2511111111111113,0.032,acetate,1,2021-08-06,1
WT,Carboy,False,0.3766666666666669,0.03392857142857143,acetate,1,2021-08-06,1
WT,Carboy,False,0.5022222222222217,0.03503571428571428,acetate,1,2021-08-06,1
WT,Carboy,False,0.6277777777777773,0.03707142857142856,acetate,1,2021-08-06,1
WT,Carboy,False,0.753333333333333,0.038000000000000006,acetate,1,2021-08-06,1
WT,Carboy,False,0.8788888888888886,0.04007142857142855,acetate,1,2021-08-06,1
WT,Carboy,False,1.0044444444444443,0.04192857142857141,acetate,1,2021-08-06,1
WT,Carboy,False,1.13,0.043928571428571414,acetate,1,2021-08-06,1
WT,Carboy,False,1.2555555555555555,0.045857142857142846,acetate,1,2021-08-06,1
WT,Carboy,False,1.3811111111111112,0.05292857142857142,acetate,1,2021-08-06,1
WT,Carboy,False,1.5066666666666668,0.05114285714285713,acetate,1,2021-08-06,1
WT,Carboy,False,1.6322222222222225,0.05407142857142856,acetate,1,2021-08-06,1
WT,Carboy,False,1.7577777777777772,0.05689285714285715,acetate,1,2021-08-06,1
WT,Carboy,False,1.8833333333333329,0.05885714285714286,acetate,1,2021-08-06,1
WT,Carboy,False,2.0088888888888885,0.06185714285714283,acetate,1,2021-08-06,1
WT,Carboy,False,2.134444444444444,0.06599999999999999,acetate,1,2021-08-06,1
WT,Carboy,False,2.26,0.06899999999999999,acetate,1,2021-08-06,1
WT,Carboy,False,2.3855555555555554,0.073,acetate,1,2021-08-06,1
WT,Carboy,False,2.511111111111111,0.076,acetate,1,2021-08-06,1
WT,Carboy,False,2.6366666666666667,0.08007142857142856,acetate,1,2021-08-06,1
WT,Carboy,False,2.7622222222222224,0.08417857142857142,acetate,1,2021-08-06,1
WT,Carboy,False,2.887777777777778,0.08792857142857143,acetate,1,2021-08-06,1
WT,Carboy,False,3.0133333333333336,0.09285714285714283,acetate,1,2021-08-06,1
WT,Carboy,False,3.1388888888888893,0.09589285714285713,acetate,1,2021-08-06,1
WT,Carboy,False,0.0,0.03092857142857143,acetate,2,2021-08-06,1
WT,Carboy,False,0.12555555555555475,0.03203571428571428,acetate,2,2021-08-06,1
WT,Carboy,False,0.2511111111111104,0.03407142857142856,acetate,2,2021-08-06,1
WT,Carboy,False,0.37666666666666604,0.035,acetate,2,2021-08-06,1
WT,Carboy,False,0.5022222222222217,0.03707142857142856,acetate,2,2021-08-06,1
WT,Carboy,False,0.6277777777777773,0.03892857142857141,acetate,2,2021-08-06,1
WT,Carboy,False,0.753333333333333,0.04092857142857141,acetate,2,2021-08-06,1
WT,Carboy,False,0.8788888888888886,0.042857142857142844,acetate,2,2021-08-06,1
WT,Carboy,False,1.0044444444444443,0.044928571428571415,acetate,2,2021-08-06,1
WT,Carboy,False,1.13,0.048142857142857126,acetate,2,2021-08-06,1
WT,Carboy,False,1.2555555555555555,0.05007142857142856,acetate,2,2021-08-06,1
WT,Carboy,False,1.3811111111111103,0.052892857142857144,acetate,2,2021-08-06,1
WT,Carboy,False,1.506666666666666,0.055857142857142855,acetate,2,2021-08-06,1
WT,Carboy,False,1.6322222222222216,0.05885714285714286,acetate,2,2021-08-06,1
WT,Carboy,False,1.7577777777777772,0.061999999999999986,acetate,2,2021-08-06,1
WT,Carboy,False,1.8833333333333329,0.06599999999999999,acetate,2,2021-08-06,1
WT,Carboy,False,2.0088888888888885,0.06899999999999999,acetate,2,2021-08-06,1
WT,Carboy,False,2.134444444444444,0.073,acetate,2,2021-08-06,1
WT,Carboy,False,2.26,0.07707142857142855,acetate,2,2021-08-06,1
WT,Carboy,False,2.3855555555555554,0.08017857142857142,acetate,2,2021-08-06,1
WT,Carboy,False,2.511111111111111,0.08392857142857142,acetate,2,2021-08-06,1
WT,Carboy,False,2.6366666666666667,0.08885714285714286,acetate,2,2021-08-06,1
WT,Carboy,False,2.7622222222222224,0.09289285714285712,acetate,2,2021-08-06,1
WT,Carboy,False,2.887777777777778,0.09703571428571427,acetate,2,2021-08-06,1
WT,Carboy,False,0.0,0.03089285714285714,acetate,3,2021-08-06,1
WT,Carboy,False,0.12555555555555564,0.032,acetate,3,2021-08-06,1
WT,Carboy,False,0.2511111111111113,0.03292857142857143,acetate,3,2021-08-06,1
WT,Carboy,False,0.37666666666666604,0.03503571428571428,acetate,3,2021-08-06,1
WT,Carboy,False,0.5022222222222217,0.03607142857142856,acetate,3,2021-08-06,1
WT,Carboy,False,0.6277777777777773,0.038000000000000006,acetate,3,2021-08-06,1
WT,Carboy,False,0.753333333333333,0.04007142857142855,acetate,3,2021-08-06,1
WT,Carboy,False,0.8788888888888886,0.04192857142857141,acetate,3,2021-08-06,1
WT,Carboy,False,1.0044444444444443,0.043928571428571414,acetate,3,2021-08-06,1
WT,Carboy,False,1.13,0.045857142857142846,acetate,3,2021-08-06,1
WT,Carboy,False,1.2555555555555555,0.04792857142857142,acetate,3,2021-08-06,1
WT,Carboy,False,1.3811111111111112,0.05114285714285713,acetate,3,2021-08-06,1
WT,Carboy,False,1.5066666666666668,0.05307142857142856,acetate,3,2021-08-06,1
WT,Carboy,False,1.6322222222222216,0.05589285714285715,acetate,3,2021-08-06,1
WT,Carboy,False,1.7577777777777772,0.05885714285714286,acetate,3,2021-08-06,1
WT,Carboy,False,1.8833333333333329,0.06185714285714283,acetate,3,2021-08-06,1
WT,Carboy,False,2.0088888888888885,0.06499999999999999,acetate,3,2021-08-06,1
WT,Carboy,False,2.134444444444444,0.06899999999999999,acetate,3,2021-08-06,1
WT,Carboy,False,2.26,0.072,acetate,3,2021-08-06,1
WT,Carboy,False,2.3855555555555554,0.076,acetate,3,2021-08-06,1
WT,Carboy,False,2.511111111111111,0.08007142857142856,acetate,3,2021-08-06,1
WT,Carboy,False,2.6366666666666667,0.08417857142857142,acetate,3,2021-08-06,1
WT,Carboy,False,2.7622222222222224,0.08792857142857143,acetate,3,2021-08-06,1
WT,Carboy,False,2.887777777777778,0.09185714285714286,acetate,3,2021-08-06,1
WT,Carboy,False,3.0133333333333336,0.09589285714285713,acetate,3,2021-08-06,1
WT,Carboy,False,0.0,0.030000000000000013,acetate,4,2021-08-06,1
WT,Carboy,False,0.12555555555555564,0.03089285714285714,acetate,4,2021-08-06,1
WT,Carboy,False,0.2511111111111113,0.032,acetate,4,2021-08-06,1
WT,Carboy,False,0.3766666666666669,0.03392857142857143,acetate,4,2021-08-06,1
WT,Carboy,False,0.5022222222222217,0.03503571428571428,acetate,4,2021-08-06,1
WT,Carboy,False,0.6277777777777773,0.03707142857142856,acetate,4,2021-08-06,1
WT,Carboy,False,0.753333333333333,0.038000000000000006,acetate,4,2021-08-06,1
WT,Carboy,False,0.8788888888888886,0.04007142857142855,acetate,4,2021-08-06,1
WT,Carboy,False,1.0044444444444443,0.04192857142857141,acetate,4,2021-08-06,1
WT,Carboy,False,1.13,0.043928571428571414,acetate,4,2021-08-06,1
WT,Carboy,False,1.2555555555555555,0.045857142857142846,acetate,4,2021-08-06,1
WT,Carboy,False,1.3811111111111112,0.04792857142857142,acetate,4,2021-08-06,1
WT,Carboy,False,1.5066666666666668,0.05014285714285713,acetate,4,2021-08-06,1
WT,Carboy,False,1.6322222222222225,0.05307142857142856,acetate,4,2021-08-06,1
WT,Carboy,False,1.7577777777777772,0.05589285714285715,acetate,4,2021-08-06,1
WT,Carboy,False,1.8833333333333329,0.05885714285714286,acetate,4,2021-08-06,1
WT,Carboy,False,2.0088888888888885,0.06185714285714283,acetate,4,2021-08-06,1
WT,Carboy,False,2.134444444444444,0.06499999999999999,acetate,4,2021-08-06,1
WT,Carboy,False,2.26,0.06799999999999999,acetate,4,2021-08-06,1
WT,Carboy,False,2.3855555555555554,0.072,acetate,4,2021-08-06,1
WT,Carboy,False,2.511111111111111,0.076,acetate,4,2021-08-06,1
WT,Carboy,False,2.6366666666666667,0.07907142857142856,acetate,4,2021-08-06,1
WT,Carboy,False,2.7622222222222224,0.08317857142857142,acetate,4,2021-08-06,1
WT,Carboy,False,2.887777777777778,0.08792857142857143,acetate,4,2021-08-06,1
WT,Carboy,False,3.0133333333333336,0.09185714285714286,acetate,4,2021-08-06,1
WT,Carboy,False,3.1388888888888893,0.09589285714285713,acetate,4,2021-08-06,1
WT,Carboy,True,0.0,0.03203571428571428,acetate,1,2021-08-06,1
WT,Carboy,True,0.12555555555555564,0.03507142857142856,acetate,1,2021-08-06,1
WT,Carboy,True,0.2511111111111113,0.038000000000000006,acetate,1,2021-08-06,1
WT,Carboy,True,0.3766666666666669,0.04107142857142855,acetate,1,2021-08-06,1
WT,Carboy,True,0.5022222222222226,0.044928571428571415,acetate,1,2021-08-06,1
WT,Carboy,True,0.6277777777777782,0.04892857142857142,acetate,1,2021-08-06,1
WT,Carboy,True,0.7533333333333339,0.05385714285714285,acetate,1,2021-08-06,1
WT,Carboy,True,0.8788888888888895,0.05892857142857143,acetate,1,2021-08-06,1
WT,Carboy,True,1.0044444444444451,0.06414285714285711,acetate,1,2021-08-06,1
WT,Carboy,True,1.1300000000000008,0.07007142857142855,acetate,1,2021-08-06,1
WT,Carboy,True,1.2555555555555555,0.07589285714285714,acetate,1,2021-08-06,1
WT,Carboy,True,1.3811111111111112,0.08185714285714285,acetate,1,2021-08-06,1
WT,Carboy,True,1.5066666666666668,0.08785714285714286,acetate,1,2021-08-06,1
WT,Carboy,True,1.6322222222222225,0.09599999999999999,acetate,1,2021-08-06,1
WT,Carboy,True,0.0,0.03203571428571428,acetate,2,2021-08-06,1
WT,Carboy,True,0.12555555555555564,0.03507142857142856,acetate,2,2021-08-06,1
WT,Carboy,True,0.2511111111111113,0.038000000000000006,acetate,2,2021-08-06,1
WT,Carboy,True,0.3766666666666669,0.04107142857142855,acetate,2,2021-08-06,1
WT,Carboy,True,0.5022222222222226,0.044928571428571415,acetate,2,2021-08-06,1
WT,Carboy,True,0.6277777777777782,0.04892857142857142,acetate,2,2021-08-06,1
WT,Carboy,True,0.7533333333333339,0.05385714285714285,acetate,2,2021-08-06,1
WT,Carboy,True,0.8788888888888895,0.057928571428571426,acetate,2,2021-08-06,1
WT,Carboy,True,1.0044444444444451,0.06414285714285711,acetate,2,2021-08-06,1
WT,Carboy,True,1.1300000000000008,0.07007142857142855,acetate,2,2021-08-06,1
WT,Carboy,True,1.2555555555555555,0.07489285714285714,acetate,2,2021-08-06,1
WT,Carboy,True,1.3811111111111112,0.08185714285714285,acetate,2,2021-08-06,1
WT,Carboy,True,1.5066666666666668,0.08785714285714286,acetate,2,2021-08-06,1
WT,Carboy,True,1.6322222222222225,0.09499999999999999,acetate,2,2021-08-06,1
WT,Carboy,True,0.0,0.03,acetate,3,2021-08-06,1
WT,Carboy,True,0.12555555555555564,0.03192857142857143,acetate,3,2021-08-06,1
WT,Carboy,True,0.2511111111111104,0.03403571428571428,acetate,3,2021-08-06,1
WT,Carboy,True,0.37666666666666604,0.03707142857142856,acetate,3,2021-08-06,1
WT,Carboy,True,0.5022222222222217,0.039999999999999994,acetate,3,2021-08-06,1
WT,Carboy,True,0.6277777777777773,0.04307142857142855,acetate,3,2021-08-06,1
WT,Carboy,True,0.753333333333333,0.04692857142857142,acetate,3,2021-08-06,1
WT,Carboy,True,0.8788888888888886,0.05092857142857142,acetate,3,2021-08-06,1
WT,Carboy,True,1.0044444444444443,0.055857142857142855,acetate,3,2021-08-06,1
WT,Carboy,True,1.13,0.06092857142857143,acetate,3,2021-08-06,1
WT,Carboy,True,1.2555555555555555,0.06614285714285711,acetate,3,2021-08-06,1
WT,Carboy,True,1.3811111111111112,0.07207142857142855,acetate,3,2021-08-06,1
WT,Carboy,True,1.506666666666666,0.07789285714285714,acetate,3,2021-08-06,1
WT,Carboy,True,1.6322222222222216,0.08385714285714285,acetate,3,2021-08-06,1
WT,Carboy,True,1.7577777777777772,0.09085714285714286,acetate,3,2021-08-06,1
WT,Carboy,True,1.8833333333333329,0.09699999999999999,acetate,3,2021-08-06,1
WT,Carboy,True,0.0,0.03303571428571428,acetate,4,2021-08-06,1
WT,Carboy,True,0.12555555555555564,0.03507142857142856,acetate,4,2021-08-06,1
WT,Carboy,True,0.2511111111111113,0.038000000000000006,acetate,4,2021-08-06,1
WT,Carboy,True,0.3766666666666669,0.04107142857142855,acetate,4,2021-08-06,1
WT,Carboy,True,0.5022222222222226,0.044928571428571415,acetate,4,2021-08-06,1
WT,Carboy,True,0.6277777777777782,0.04892857142857142,acetate,4,2021-08-06,1
WT,Carboy,True,0.7533333333333339,0.05285714285714285,acetate,4,2021-08-06,1
WT,Carboy,True,0.8788888888888895,0.057928571428571426,acetate,4,2021-08-06,1
WT,Carboy,True,1.0044444444444451,0.06414285714285711,acetate,4,2021-08-06,1
WT,Carboy,True,1.1300000000000008,0.06907142857142855,acetate,4,2021-08-06,1
WT,Carboy,True,1.2555555555555555,0.07489285714285714,acetate,4,2021-08-06,1
WT,Carboy,True,1.3811111111111112,0.08185714285714285,acetate,4,2021-08-06,1
WT,Carboy,True,1.5066666666666668,0.08785714285714286,acetate,4,2021-08-06,1
WT,Carboy,True,1.6322222222222225,0.09499999999999999,acetate,4,2021-08-06,1
WT,MQ+,False,0.0,0.030000000000000013,acetate,1,2021-08-06,1
