strain,dilution_factor,micronutrients,elapsed_time_hr,od_600nm,growth_medium,technical_replicate,date,run_number
WT,10.0,False,0.0,0.0315681818181818,proline,1,2021-08-11,1
WT,10.0,False,0.12555555555555564,0.03322727272727269,proline,1,2021-08-11,1
WT,10.0,False,0.2511111111111104,0.03499999999999996,proline,1,2021-08-11,1
WT,10.0,False,0.37666666666666604,0.037590909090909064,proline,1,2021-08-11,1
WT,10.0,False,0.5022222222222217,0.03913636363636361,proline,1,2021-08-11,1
WT,10.0,False,0.6277777777777773,0.041818181818181796,proline,1,2021-08-11,1
WT,10.0,False,0.753333333333333,0.04445454545454543,proline,1,2021-08-11,1
WT,10.0,False,0.8788888888888886,0.046886363636363615,proline,1,2021-08-11,1
WT,10.0,False,1.0044444444444443,0.049613636363636346,proline,1,2021-08-11,1
WT,10.0,False,1.13,0.05204545454545449,proline,1,2021-08-11,1
WT,10.0,False,1.2555555555555555,0.05474999999999995,proline,1,2021-08-11,1
WT,10.0,False,1.3811111111111112,0.0581363636363636,proline,1,2021-08-11,1
WT,10.0,False,1.5066666666666668,0.06165909090909087,proline,1,2021-08-11,1
WT,10.0,False,1.6322222222222216,0.06402272727272725,proline,1,2021-08-11,1
WT,10.0,False,1.7577777777777772,0.06770454545454543,proline,1,2021-08-11,1
WT,10.0,False,1.8833333333333329,0.07113636363636362,proline,1,2021-08-11,1
WT,10.0,False,2.0088888888888885,0.07549999999999998,proline,1,2021-08-11,1
WT,10.0,False,2.134444444444444,0.07890909090909087,proline,1,2021-08-11,1
WT,10.0,False,2.26,0.0833863636363636,proline,1,2021-08-11,1
WT,10.0,False,2.3855555555555554,0.08679545454545452,proline,1,2021-08-11,1
WT,10.0,False,2.511111111111111,0.09213636363636363,proline,1,2021-08-11,1
WT,10.0,False,2.6366666666666667,0.09654545454545455,proline,1,2021-08-11,1
WT,10.0,False,2.7622222222222224,0.10188636363636365,proline,1,2021-08-11,1
WT,10.0,False,2.887777777777777,0.10622727272727274,proline,1,2021-08-11,1
WT,10.0,False,3.0133333333333328,0.11154545454545452,proline,1,2021-08-11,1
WT,10.0,False,3.1388888888888884,0.11684090909090909,proline,1,2021-08-11,1
WT,10.0,False,3.264444444444444,0.12204545454545454,proline,1,2021-08-11,1
WT,10.0,False,3.3899999999999997,0.12654545454545457,proline,1,2021-08-11,1
WT,10.0,False,3.5155555555555553,0.13329545454545458,proline,1,2021-08-11,1
WT,10.0,False,3.641111111111111,0.13918181818181818,proline,1,2021-08-11,1
WT,10.0,False,3.7666666666666666,0.14579545454545453,proline,1,2021-08-11,1
WT,10.0,False,3.8922222222222222,0.15245454545454545,proline,1,2021-08-11,1
WT,10.0,False,4.017777777777778,0.15997727272727275,proline,1,2021-08-11,1
WT,10.0,False,4.1433333333333335,0.16636363636363638,proline,1,2021-08-11,1
WT,10.0,False,4.268888888888889,0.17397727272727276,proline,1,2021-08-11,1
WT,10.0,False,4.394444444444445,0.18145454545454542,proline,1,2021-08-11,1
WT,10.0,False,4.5200000000000005,0.18895454545454543,proline,1,2021-08-11,1
WT,10.0,False,4.645555555555556,0.1975227272727273,proline,1,2021-08-11,1
WT,10.0,False,0.0,0.030931818181818144,proline,2,2021-08-11,1
WT,10.0,False,0.12555555555555564,0.03356818181818179,proline,2,2021-08-11,1
WT,10.0,False,0.2511111111111113,0.03522727272727269,proline,2,2021-08-11,1
WT,10.0,False,0.37666666666666604,0.036999999999999963,proline,2,2021-08-11,1
WT,10.0,False,0.5022222222222217,0.039590909090909066,proline,2,2021-08-11,1
WT,10.0,False,0.6277777777777773,0.04213636363636361,proline,2,2021-08-11,1
WT,10.0,False,0.753333333333333,0.0438181818181818,proline,2,2021-08-11,1
WT,10.0,False,0.8788888888888886,0.04645454545454543,proline,2,2021-08-11,1
WT,10.0,False,1.0044444444444443,0.04888636363636362,proline,2,2021-08-11,1
WT,10.0,False,1.13,0.05161363636363635,proline,2,2021-08-11,1
WT,10.0,False,1.2555555555555555,0.055045454545454495,proline,2,2021-08-11,1
WT,10.0,False,1.3811111111111112,0.057749999999999954,proline,2,2021-08-11,1
WT,10.0,False,1.5066666666666668,0.0611363636363636,proline,2,2021-08-11,1
WT,10.0,False,1.6322222222222225,0.06365909090909087,proline,2,2021-08-11,1
WT,10.0,False,1.7577777777777772,0.06802272727272725,proline,2,2021-08-11,1
WT,10.0,False,1.8833333333333329,0.07170454545454544,proline,2,2021-08-11,1
WT,10.0,False,2.0088888888888885,0.07513636363636363,proline,2,2021-08-11,1
WT,10.0,False,2.134444444444444,0.07949999999999996,proline,2,2021-08-11,1
WT,10.0,False,2.26,0.08290909090909088,proline,2,2021-08-11,1
WT,10.0,False,2.3855555555555554,0.08738636363636361,proline,2,2021-08-11,1
WT,10.0,False,2.511111111111111,0.09179545454545453,proline,2,2021-08-11,1
WT,10.0,False,2.6366666666666667,0.09713636363636363,proline,2,2021-08-11,1
WT,10.0,False,2.7622222222222224,0.10154545454545455,proline,2,2021-08-11,1
WT,10.0,False,2.887777777777778,0.10588636363636365,proline,2,2021-08-11,1
WT,10.0,False,3.0133333333333328,0.11122727272727272,proline,2,2021-08-11,1
WT,10.0,False,3.1388888888888884,0.11654545454545452,proline,2,2021-08-11,1
WT,10.0,False,3.264444444444444,0.1218409090909091,proline,2,2021-08-11,1
WT,10.0,False,3.3899999999999997,0.12804545454545455,proline,2,2021-08-11,1
WT,10.0,False,3.5155555555555553,0.13254545454545458,proline,2,2021-08-11,1
WT,10.0,False,3.641111111111111,0.13929545454545456,proline,2,2021-08-11,1
WT,10.0,False,3.7666666666666666,0.1451818181818182,proline,2,2021-08-11,1
WT,10.0,False,3.8922222222222222,0.15279545454545454,proline,2,2021-08-11,1
WT,10.0,False,4.017777777777778,0.15945454545454546,proline,2,2021-08-11,1
WT,10.0,False,4.1433333333333335,0.16597727272727275,proline,2,2021-08-11,1
WT,10.0,False,4.268888888888889,0.1733636363636364,proline,2,2021-08-11,1
WT,10.0,False,4.394444444444445,0.1809772727272727,proline,2,2021-08-11,1
WT,10.0,False,4.5200000000000005,0.18845454545454543,proline,2,2021-08-11,1
WT,10.0,False,4.645555555555556,0.19695454545454544,proline,2,2021-08-11,1
WT,10.0,False,0.0,0.031181818181818158,proline,3,2021-08-11,1
WT,10.0,False,0.12555555555555564,0.03293181818181813,proline,3,2021-08-11,1
WT,10.0,False,0.2511111111111113,0.03456818181818179,proline,3,2021-08-11,1
WT,10.0,False,0.3766666666666669,0.03722727272727269,proline,3,2021-08-11,1
WT,10.0,False,0.5022222222222217,0.038999999999999965,proline,3,2021-08-11,1
WT,10.0,False,0.6277777777777773,0.04159090909090907,proline,3,2021-08-11,1
WT,10.0,False,0.753333333333333,0.04413636363636361,proline,3,2021-08-11,1
WT,10.0,False,0.8788888888888886,0.0458181818181818,proline,3,2021-08-11,1
WT,10.0,False,1.0044444444444443,0.04845454545454543,proline,3,2021-08-11,1
WT,10.0,False,1.13,0.05088636363636362,proline,3,2021-08-11,1
WT,10.0,False,1.2555555555555555,0.05361363636363632,proline,3,2021-08-11,1
WT,10.0,False,1.3811111111111112,0.057045454545454496,proline,3,2021-08-11,1
WT,10.0,False,1.5066666666666668,0.059749999999999956,proline,3,2021-08-11,1
WT,10.0,False,1.6322222222222225,0.0631363636363636,proline,3,2021-08-11,1
WT,10.0,False,1.757777777777778,0.06665909090909088,proline,3,2021-08-11,1
WT,10.0,False,1.8833333333333329,0.07002272727272725,proline,3,2021-08-11,1
WT,10.0,False,2.0088888888888885,0.07370454545454544,proline,3,2021-08-11,1
WT,10.0,False,2.134444444444444,0.07813636363636363,proline,3,2021-08-11,1
WT,10.0,False,2.26,0.08149999999999996,proline,3,2021-08-11,1
WT,10.0,False,2.3855555555555554,0.08590909090909088,proline,3,2021-08-11,1
WT,10.0,False,2.511111111111111,0.09038636363636361,proline,3,2021-08-11,1
WT,10.0,False,2.6366666666666667,0.09479545454545453,proline,3,2021-08-11,1
WT,10.0,False,2.7622222222222224,0.10013636363636363,proline,3,2021-08-11,1
WT,10.0,False,2.887777777777778,0.10454545454545455,proline,3,2021-08-11,1
WT,10.0,False,3.0133333333333336,0.10988636363636363,proline,3,2021-08-11,1
WT,10.0,False,3.1388888888888884,0.11522727272727272,proline,3,2021-08-11,1
WT,10.0,False,3.264444444444444,0.12054545454545453,proline,3,2021-08-11,1
WT,10.0,False,3.3899999999999997,0.12584090909090911,proline,3,2021-08-11,1
WT,10.0,False,3.5155555555555553,0.13104545454545455,proline,3,2021-08-11,1
WT,10.0,False,3.641111111111111,0.13654545454545453,proline,3,2021-08-11,1
WT,10.0,False,3.7666666666666666,0.14229545454545456,proline,3,2021-08-11,1
WT,10.0,False,3.8922222222222222,0.1481818181818182,proline,3,2021-08-11,1
WT,10.0,False,4.017777777777778,0.15679545454545454,proline,3,2021-08-11,1
WT,10.0,False,4.1433333333333335,0.16445454545454546,proline,3,2021-08-11,1
WT,10.0,False,4.268888888888889,0.17097727272727276,proline,3,2021-08-11,1
WT,10.0,False,4.394444444444445,0.1773636363636364,proline,3,2021-08-11,1
WT,10.0,False,4.5200000000000005,0.1849772727272727,proline,3,2021-08-11,1
WT,10.0,False,4.645555555555556,0.19245454545454543,proline,3,2021-08-11,1
WT,10.0,False,4.771111111111112,0.19995454545454544,proline,3,2021-08-11,1
WT,10.0,False,0.0,0.03145454545454543,proline,4,2021-08-11,1
WT,10.0,False,0.12555555555555564,0.033181818181818146,proline,4,2021-08-11,1
WT,10.0,False,0.2511111111111113,0.03493181818181813,proline,4,2021-08-11,1
WT,10.0,False,0.3766666666666669,0.03656818181818179,proline,4,2021-08-11,1
WT,10.0,False,0.5022222222222226,0.039227272727272694,proline,4,2021-08-11,1
WT,10.0,False,0.6277777777777773,0.04199999999999997,proline,4,2021-08-11,1
WT,10.0,False,0.753333333333333,0.04359090909090907,proline,4,2021-08-11,1
WT,10.0,False,0.8788888888888886,0.046136363636363614,proline,4,2021-08-11,1
WT,10.0,False,1.0044444444444443,0.0488181818181818,proline,4,2021-08-11,1
WT,10.0,False,1.13,0.05145454545454543,proline,4,2021-08-11,1
WT,10.0,False,1.2555555555555555,0.05388636363636359,proline,4,2021-08-11,1
WT,10.0,False,1.3811111111111112,0.056613636363636324,proline,4,2021-08-11,1
WT,10.0,False,1.5066666666666668,0.0600454545454545,proline,4,2021-08-11,1
WT,10.0,False,1.6322222222222225,0.06274999999999996,proline,4,2021-08-11,1
WT,10.0,False,1.757777777777778,0.0661363636363636,proline,4,2021-08-11,1
WT,10.0,False,1.8833333333333337,0.06965909090909088,proline,4,2021-08-11,1
WT,10.0,False,2.0088888888888885,0.07402272727272725,proline,4,2021-08-11,1
WT,10.0,False,2.134444444444444,0.07770454545454544,proline,4,2021-08-11,1
WT,10.0,False,2.26,0.0811363636363636,proline,4,2021-08-11,1
WT,10.0,False,2.3855555555555554,0.08549999999999996,proline,4,2021-08-11,1
WT,10.0,False,2.511111111111111,0.08990909090909088,proline,4,2021-08-11,1
WT,10.0,False,2.6366666666666667,0.09438636363636362,proline,4,2021-08-11,1
WT,10.0,False,2.7622222222222224,0.09879545454545453,proline,4,2021-08-11,1
WT,10.0,False,2.887777777777778,0.10413636363636364,proline,4,2021-08-11,1
WT,10.0,False,3.0133333333333336,0.10954545454545453,proline,4,2021-08-11,1
WT,10.0,False,3.1388888888888893,0.11488636363636363,proline,4,2021-08-11,1
WT,10.0,False,3.264444444444444,0.12022727272727272,proline,4,2021-08-11,1
WT,10.0,False,3.3899999999999997,0.12554545454545452,proline,4,2021-08-11,1
WT,10.0,False,3.5155555555555553,0.13084090909090912,proline,4,2021-08-11,1
WT,10.0,False,3.641111111111111,0.13704545454545453,proline,4,2021-08-11,1
WT,10.0,False,3.7666666666666666,0.14154545454545453,proline,4,2021-08-11,1
WT,10.0,False,3.8922222222222222,0.14829545454545456,proline,4,2021-08-11,1
WT,10.0,False,4.017777777777778,0.1551818181818182,proline,4,2021-08-11,1
WT,10.0,False,4.1433333333333335,0.16279545454545455,proline,4,2021-08-11,1
WT,10.0,False,4.268888888888889,0.17045454545454547,proline,4,2021-08-11,1
WT,10.0,False,4.394444444444445,0.17797727272727276,proline,4,2021-08-11,1
WT,10.0,False,4.5200000000000005,0.18536363636363634,proline,4,2021-08-11,1
WT,10.0,False,4.645555555555556,0.19297727272727272,proline,4,2021-08-11,1
WT,10.0,True,0.0,0.0317272727272727,proline,1,2021-08-11,1
WT,10.0,True,0.12555555555555564,0.03356818181818179,proline,1,2021-08-11,1
WT,10.0,True,0.2511111111111113,0.03545454545454543,proline,1,2021-08-11,1
WT,10.0,True,0.3766666666666667,0.03747727272727269,proline,1,2021-08-11,1
WT,10.0,True,0.5022222222222223,0.03929545454545451,proline,1,2021-08-11,1
WT,10.0,True,0.627777777777778,0.04127272727272725,proline,1,2021-08-11,1
WT,10.0,True,0.7533333333333334,0.044090909090909056,proline,1,2021-08-11,1
WT,10.0,True,0.878888888888889,0.04599999999999997,proline,1,2021-08-11,1
WT,10.0,True,1.0044444444444447,0.048999999999999974,proline,1,2021-08-11,1
WT,10.0,True,1.13,0.05174999999999998,proline,1,2021-08-11,1
WT,10.0,True,1.2555555555555555,0.05479545454545452,proline,1,2021-08-11,1
WT,10.0,True,1.3811111111111112,0.05754545454545451,proline,1,2021-08-11,1
WT,10.0,True,1.5066666666666668,0.061477272727272686,proline,1,2021-08-11,1
WT,10.0,True,1.6322222222222225,0.06429545454545449,proline,1,2021-08-11,1
WT,10.0,True,1.757777777777778,0.06806818181818178,proline,1,2021-08-11,1
WT,10.0,True,1.8833333333333333,0.07295454545454542,proline,1,2021-08-11,1
WT,10.0,True,2.008888888888889,0.07668181818181814,proline,1,2021-08-11,1
WT,10.0,True,2.1344444444444446,0.08052272727272725,proline,1,2021-08-11,1
WT,10.0,True,2.2600000000000002,0.08536363636363634,proline,1,2021-08-11,1
WT,10.0,True,2.385555555555556,0.09006818181818177,proline,1,2021-08-11,1
WT,10.0,True,2.511111111111111,0.09493181818181815,proline,1,2021-08-11,1
WT,10.0,True,2.6366666666666667,0.10056818181818179,proline,1,2021-08-11,1
WT,10.0,True,2.7622222222222224,0.10645454545454543,proline,1,2021-08-11,1
WT,10.0,True,2.887777777777778,0.11218181818181816,proline,1,2021-08-11,1
WT,10.0,True,3.0133333333333336,0.11793181818181815,proline,1,2021-08-11,1
WT,10.0,True,3.1388888888888893,0.12456818181818179,proline,1,2021-08-11,1
WT,10.0,True,3.264444444444445,0.1312272727272727,proline,1,2021-08-11,1
WT,10.0,True,3.3899999999999997,0.13899999999999996,proline,1,2021-08-11,1
WT,10.0,True,3.5155555555555553,0.14559090909090908,proline,1,2021-08-11,1
WT,10.0,True,3.641111111111111,0.1541363636363636,proline,1,2021-08-11,1
WT,10.0,True,3.7666666666666666,0.1608181818181818,proline,1,2021-08-11,1
WT,10.0,True,3.8922222222222222,0.1694545454545454,proline,1,2021-08-11,1
WT,10.0,True,4.017777777777778,0.17788636363636362,proline,1,2021-08-11,1
WT,10.0,True,4.1433333333333335,0.18661363636363637,proline,1,2021-08-11,1
WT,10.0,True,4.268888888888889,0.19504545454545447,proline,1,2021-08-11,1
WT,10.0,True,0.0,0.03077272727272723,proline,2,2021-08-11,1
WT,10.0,True,0.12555555555555542,0.0327272727272727,proline,2,2021-08-11,1
WT,10.0,True,0.25111111111111106,0.03356818181818179,proline,2,2021-08-11,1
WT,10.0,True,0.3766666666666667,0.03545454545454543,proline,2,2021-08-11,1
WT,10.0,True,0.5022222222222221,0.03747727272727269,proline,2,2021-08-11,1
WT,10.0,True,0.6277777777777778,0.04029545454545451,proline,2,2021-08-11,1
WT,10.0,True,0.7533333333333334,0.042272727272727254,proline,2,2021-08-11,1
WT,10.0,True,0.8788888888888888,0.045090909090909057,proline,2,2021-08-11,1
WT,10.0,True,1.0044444444444445,0.04699999999999997,proline,2,2021-08-11,1
WT,10.0,True,1.1300000000000001,0.049999999999999975,proline,2,2021-08-11,1
WT,10.0,True,1.2555555555555553,0.05274999999999998,proline,2,2021-08-11,1
WT,10.0,True,1.381111111111111,0.05579545454545452,proline,2,2021-08-11,1
WT,10.0,True,1.5066666666666666,0.058545454545454484,proline,2,2021-08-11,1
WT,10.0,True,1.6322222222222222,0.06247727272727269,proline,2,2021-08-11,1
WT,10.0,True,1.7577777777777779,0.06529545454545449,proline,2,2021-08-11,1
WT,10.0,True,1.8833333333333335,0.06906818181818178,proline,2,2021-08-11,1
WT,10.0,True,2.0088888888888885,0.07295454545454542,proline,2,2021-08-11,1
WT,10.0,True,2.134444444444444,0.07768181818181814,proline,2,2021-08-11,1
WT,10.0,True,2.26,0.08152272727272725,proline,2,2021-08-11,1
WT,10.0,True,2.3855555555555554,0.08636363636363634,proline,2,2021-08-11,1
WT,10.0,True,2.511111111111111,0.09106818181818177,proline,2,2021-08-11,1
WT,10.0,True,2.6366666666666667,0.09593181818181815,proline,2,2021-08-11,1
WT,10.0,True,2.7622222222222224,0.1015681818181818,proline,2,2021-08-11,1
WT,10.0,True,2.887777777777778,0.10745454545454543,proline,2,2021-08-11,1
WT,10.0,True,3.0133333333333336,0.11318181818181816,proline,2,2021-08-11,1
WT,10.0,True,3.1388888888888893,0.11893181818181812,proline,2,2021-08-11,1
WT,10.0,True,3.264444444444445,0.1255681818181818,proline,2,2021-08-11,1
WT,10.0,True,3.3900000000000006,0.1322272727272727,proline,2,2021-08-11,1
WT,10.0,True,3.5155555555555553,0.13999999999999996,proline,2,2021-08-11,1
WT,10.0,True,3.641111111111111,0.14659090909090908,proline,2,2021-08-11,1
WT,10.0,True,3.7666666666666666,0.1541363636363636,proline,2,2021-08-11,1
WT,10.0,True,3.8922222222222222,0.1618181818181818,proline,2,2021-08-11,1
WT,10.0,True,4.017777777777778,0.17045454545454541,proline,2,2021-08-11,1
WT,10.0,True,4.1433333333333335,0.17888636363636362,proline,2,2021-08-11,1
WT,10.0,True,4.268888888888889,0.18761363636363637,proline,2,2021-08-11,1
WT,10.0,True,4.394444444444445,0.19604545454545447,proline,2,2021-08-11,1
WT,10.0,True,0.0,0.030818181818181786,proline,3,2021-08-11,1
WT,10.0,True,0.12555555555555553,0.03177272727272723,proline,3,2021-08-11,1
WT,10.0,True,0.25111111111111095,0.0337272727272727,proline,3,2021-08-11,1
WT,10.0,True,0.3766666666666666,0.03556818181818179,proline,3,2021-08-11,1
WT,10.0,True,0.5022222222222222,0.03645454545454542,proline,3,2021-08-11,1
WT,10.0,True,0.6277777777777777,0.039477272727272694,proline,3,2021-08-11,1
WT,10.0,True,0.7533333333333333,0.04129545454545451,proline,3,2021-08-11,1
WT,10.0,True,0.8788888888888889,0.043272727272727254,proline,3,2021-08-11,1
WT,10.0,True,1.0044444444444443,0.04609090909090906,proline,3,2021-08-11,1
WT,10.0,True,1.13,0.04799999999999997,proline,3,2021-08-11,1
WT,10.0,True,1.2555555555555555,0.050999999999999976,proline,3,2021-08-11,1
WT,10.0,True,1.3811111111111107,0.05374999999999998,proline,3,2021-08-11,1
WT,10.0,True,1.5066666666666664,0.056795454545454524,proline,3,2021-08-11,1
WT,10.0,True,1.632222222222222,0.060545454545454486,proline,3,2021-08-11,1
WT,10.0,True,1.7577777777777777,0.06347727272727269,proline,3,2021-08-11,1
WT,10.0,True,1.8833333333333333,0.06729545454545449,proline,3,2021-08-11,1
WT,10.0,True,2.008888888888889,0.07106818181818178,proline,3,2021-08-11,1
WT,10.0,True,2.134444444444444,0.07495454545454543,proline,3,2021-08-11,1
WT,10.0,True,2.26,0.07968181818181815,proline,3,2021-08-11,1
WT,10.0,True,2.3855555555555554,0.08352272727272725,proline,3,2021-08-11,1
WT,10.0,True,2.511111111111111,0.08836363636363631,proline,3,2021-08-11,1
WT,10.0,True,2.6366666666666667,0.09306818181818177,proline,3,2021-08-11,1
WT,10.0,True,2.762222222222222,0.09893181818181815,proline,3,2021-08-11,1
WT,10.0,True,2.8877777777777776,0.1045681818181818,proline,3,2021-08-11,1
WT,10.0,True,3.013333333333333,0.11045454545454543,proline,3,2021-08-11,1
WT,10.0,True,3.138888888888889,0.11618181818181816,proline,3,2021-08-11,1
WT,10.0,True,3.2644444444444445,0.12293181818181813,proline,3,2021-08-11,1
WT,10.0,True,3.39,0.1295681818181818,proline,3,2021-08-11,1
WT,10.0,True,3.5155555555555558,0.1362272727272727,proline,3,2021-08-11,1
WT,10.0,True,3.6411111111111105,0.14299999999999996,proline,3,2021-08-11,1
WT,10.0,True,3.766666666666666,0.15059090909090905,proline,3,2021-08-11,1
WT,10.0,True,3.892222222222222,0.1581363636363636,proline,3,2021-08-11,1
WT,10.0,True,4.017777777777778,0.1668181818181818,proline,3,2021-08-11,1
WT,10.0,True,4.1433333333333335,0.17545454545454542,proline,3,2021-08-11,1
WT,10.0,True,4.268888888888889,0.18288636363636362,proline,3,2021-08-11,1
WT,10.0,True,4.394444444444445,0.19261363636363638,proline,3,2021-08-11,1
WT,10.0,True,0.0,0.03077272727272723,proline,4,2021-08-11,1
WT,10.0,True,0.12555555555555542,0.0317272727272727,proline,4,2021-08-11,1
WT,10.0,True,0.25111111111111106,0.03356818181818179,proline,4,2021-08-11,1
WT,10.0,True,0.3766666666666667,0.03545454545454543,proline,4,2021-08-11,1
WT,10.0,True,0.5022222222222221,0.03747727272727269,proline,4,2021-08-11,1
WT,10.0,True,0.6277777777777778,0.03929545454545451,proline,4,2021-08-11,1
WT,10.0,True,0.7533333333333334,0.04127272727272725,proline,4,2021-08-11,1
WT,10.0,True,0.8788888888888888,0.044090909090909056,proline,4,2021-08-11,1
WT,10.0,True,1.0044444444444445,0.04599999999999997,proline,4,2021-08-11,1
WT,10.0,True,1.1300000000000001,0.048999999999999974,proline,4,2021-08-11,1
WT,10.0,True,1.2555555555555553,0.05174999999999998,proline,4,2021-08-11,1
WT,10.0,True,1.381111111111111,0.05479545454545452,proline,4,2021-08-11,1
WT,10.0,True,1.5066666666666666,0.058545454545454484,proline,4,2021-08-11,1
WT,10.0,True,1.6322222222222222,0.061477272727272686,proline,4,2021-08-11,1
WT,10.0,True,1.7577777777777779,0.06529545454545449,proline,4,2021-08-11,1
WT,10.0,True,1.8833333333333335,0.06906818181818178,proline,4,2021-08-11,1
WT,10.0,True,2.0088888888888885,0.07295454545454542,proline,4,2021-08-11,1
WT,10.0,True,2.134444444444444,0.07668181818181814,proline,4,2021-08-11,1
WT,10.0,True,2.26,0.08152272727272725,proline,4,2021-08-11,1
WT,10.0,True,2.3855555555555554,0.08636363636363634,proline,4,2021-08-11,1
WT,10.0,True,2.511111111111111,0.09106818181818177,proline,4,2021-08-11,1
WT,10.0,True,2.6366666666666667,0.09593181818181815,proline,4,2021-08-11,1
WT,10.0,True,2.7622222222222224,0.1025681818181818,proline,4,2021-08-11,1
WT,10.0,True,2.887777777777778,0.10845454545454543,proline,4,2021-08-11,1
WT,10.0,True,3.0133333333333336,0.11418181818181816,proline,4,2021-08-11,1
WT,10.0,True,3.1388888888888893,0.12093181818181813,proline,4,2021-08-11,1
WT,10.0,True,3.264444444444445,0.1275681818181818,proline,4,2021-08-11,1
WT,10.0,True,3.3900000000000006,0.1342272727272727,proline,4,2021-08-11,1
WT,10.0,True,3.5155555555555553,0.14199999999999996,proline,4,2021-08-11,1
WT,10.0,True,3.641111111111111,0.14959090909090905,proline,4,2021-08-11,1
WT,10.0,True,3.7666666666666666,0.1581363636363636,proline,4,2021-08-11,1
WT,10.0,True,3.8922222222222222,0.1658181818181818,proline,4,2021-08-11,1
WT,10.0,True,4.017777777777778,0.17445454545454542,proline,4,2021-08-11,1
WT,10.0,True,4.1433333333333335,0.18388636363636363,proline,4,2021-08-11,1
WT,10.0,True,4.268888888888889,0.19261363636363638,proline,4,2021-08-11,1
WT,20.0,False,0.0,0.030136363636363628,proline,1,2021-08-11,1
WT,20.0,False,0.12555555555555564,0.03154545454545454,proline,1,2021-08-11,1
WT,20.0,False,0.2511111111111113,0.032886363636363644,proline,1,2021-08-11,1
WT,20.0,False,0.37666666666666604,0.03522727272727273,proline,1,2021-08-11,1
WT,20.0,False,0.5022222222222217,0.036545454545454534,proline,1,2021-08-11,1
WT,20.0,False,0.6277777777777773,0.038840909090909106,proline,1,2021-08-11,1
WT,20.0,False,0.753333333333333,0.04104545454545455,proline,1,2021-08-11,1
WT,20.0,False,0.8788888888888886,0.04254545454545454,proline,1,2021-08-11,1
WT,20.0,False,1.0044444444444443,0.045295454545454555,proline,1,2021-08-11,1
WT,20.0,False,1.13,0.04818181818181817,proline,1,2021-08-11,1
WT,20.0,False,1.2555555555555555,0.05079545454545453,proline,1,2021-08-11,1
WT,20.0,False,1.3811111111111112,0.05445454545454545,proline,1,2021-08-11,1
WT,20.0,False,1.5066666666666668,0.05697727272727274,proline,1,2021-08-11,1
WT,20.0,False,1.6322222222222225,0.06036363636363637,proline,1,2021-08-11,1
WT,20.0,False,1.757777777777778,0.06297727272727274,proline,1,2021-08-11,1
WT,20.0,False,1.8833333333333337,0.06645454545454545,proline,1,2021-08-11,1
