strain,water_source,elapsed_time_hr,od_600nm,growth_medium,technical_replicate,date,run_number
WT,Stanford + micronutrients,0.5022222222222217,0.030062499999999992,acetate,3,2021-08-31,2
WT,Stanford + micronutrients,0.6277777777777773,0.031249999999999972,acetate,3,2021-08-31,2
WT,Stanford + micronutrients,0.6277777777777773,0.031249999999999972,acetate,3,2021-08-31,2
WT,Stanford + micronutrients,0.6277777777777773,0.03024999999999997,acetate,3,2021-08-31,2
WT,Stanford + micronutrients,0.6277777777777773,0.03224999999999997,acetate,3,2021-08-31,2
WT,Stanford + micronutrients,0.753333333333333,0.03322916666666664,acetate,3,2021-08-31,2
WT,Stanford + micronutrients,0.753333333333333,0.03222916666666664,acetate,3,2021-08-31,2
WT,Stanford + micronutrients,0.753333333333333,0.03222916666666664,acetate,3,2021-08-31,2
WT,Stanford + micronutrients,0.753333333333333,0.034229166666666644,acetate,3,2021-08-31,2
WT,Stanford + micronutrients,0.8788888888888886,0.03518749999999998,acetate,3,2021-08-31,2
WT,Stanford + micronutrients,0.8788888888888886,0.03518749999999998,acetate,3,2021-08-31,2
WT,Stanford + micronutrients,0.8788888888888886,0.03518749999999998,acetate,3,2021-08-31,2
WT,Stanford + micronutrients,0.8788888888888886,0.036187499999999984,acetate,3,2021-08-31,2
WT,Stanford + micronutrients,1.0044444444444443,0.03714583333333332,acetate,3,2021-08-31,2
WT,Stanford + micronutrients,1.0044444444444443,0.03714583333333332,acetate,3,2021-08-31,2
WT,Stanford + micronutrients,1.0044444444444443,0.03714583333333332,acetate,3,2021-08-31,2
WT,Stanford + micronutrients,1.0044444444444443,0.03814583333333331,acetate,3,2021-08-31,2
WT,Stanford + micronutrients,1.13,0.04016666666666664,acetate,3,2021-08-31,2
WT,Stanford + micronutrients,1.13,0.03916666666666664,acetate,3,2021-08-31,2
WT,Stanford + micronutrients,1.13,0.04016666666666664,acetate,3,2021-08-31,2
WT,Stanford + micronutrients,1.13,0.04116666666666664,acetate,3,2021-08-31,2
WT,Stanford + micronutrients,1.2555555555555555,0.04306249999999999,acetate,3,2021-08-31,2
WT,Stanford + micronutrients,1.2555555555555555,0.04206249999999999,acetate,3,2021-08-31,2
WT,Stanford + micronutrients,1.2555555555555555,0.04206249999999999,acetate,3,2021-08-31,2
WT,Stanford + micronutrients,1.2555555555555555,0.04406249999999999,acetate,3,2021-08-31,2
WT,Stanford + micronutrients,1.3811111111111112,0.046020833333333316,acetate,3,2021-08-31,2
WT,Stanford + micronutrients,1.3811111111111112,0.045020833333333315,acetate,3,2021-08-31,2
WT,Stanford + micronutrients,1.3811111111111112,0.046020833333333316,acetate,3,2021-08-31,2
WT,Stanford + micronutrients,1.3811111111111112,0.04802083333333332,acetate,3,2021-08-31,2
WT,Stanford + micronutrients,1.5066666666666668,0.04914583333333332,acetate,3,2021-08-31,2
WT,Stanford + micronutrients,1.5066666666666668,0.057145833333333326,acetate,3,2021-08-31,2
WT,Stanford + micronutrients,1.5066666666666668,0.04914583333333332,acetate,3,2021-08-31,2
WT,Stanford + micronutrients,1.5066666666666668,0.05014583333333332,acetate,3,2021-08-31,2
WT,Stanford + micronutrients,1.6322222222222216,0.052958333333333316,acetate,3,2021-08-31,2
WT,Stanford + micronutrients,1.6322222222222216,0.052958333333333316,acetate,3,2021-08-31,2
WT,Stanford + micronutrients,1.6322222222222216,0.052958333333333316,acetate,3,2021-08-31,2
WT,Stanford + micronutrients,1.6322222222222216,0.053958333333333316,acetate,3,2021-08-31,2
WT,Stanford + micronutrients,1.7577777777777772,0.05708333333333332,acetate,3,2021-08-31,2
WT,Stanford + micronutrients,1.7577777777777772,0.05708333333333332,acetate,3,2021-08-31,2
WT,Stanford + micronutrients,1.7577777777777772,0.05708333333333332,acetate,3,2021-08-31,2
WT,Stanford + micronutrients,1.7577777777777772,0.05808333333333332,acetate,3,2021-08-31,2
WT,Stanford + micronutrients,1.8833333333333329,0.060958333333333295,acetate,3,2021-08-31,2
WT,Stanford + micronutrients,1.8833333333333329,0.060958333333333295,acetate,3,2021-08-31,2
WT,Stanford + micronutrients,1.8833333333333329,0.061958333333333296,acetate,3,2021-08-31,2
WT,Stanford + micronutrients,1.8833333333333329,0.0629583333333333,acetate,3,2021-08-31,2
WT,Stanford + micronutrients,2.0088888888888885,0.06599999999999996,acetate,3,2021-08-31,2
WT,Stanford + micronutrients,2.0088888888888885,0.06599999999999996,acetate,3,2021-08-31,2
WT,Stanford + micronutrients,2.0088888888888885,0.06599999999999996,acetate,3,2021-08-31,2
WT,Stanford + micronutrients,2.0088888888888885,0.06699999999999996,acetate,3,2021-08-31,2
WT,Stanford + micronutrients,2.134444444444444,0.07102083333333331,acetate,3,2021-08-31,2
WT,Stanford + micronutrients,2.134444444444444,0.07102083333333331,acetate,3,2021-08-31,2
WT,Stanford + micronutrients,2.134444444444444,0.07202083333333331,acetate,3,2021-08-31,2
WT,Stanford + micronutrients,2.134444444444444,0.07202083333333331,acetate,3,2021-08-31,2
WT,Stanford + micronutrients,2.26,0.07697916666666664,acetate,3,2021-08-31,2
WT,Stanford + micronutrients,2.26,0.07697916666666664,acetate,3,2021-08-31,2
WT,Stanford + micronutrients,2.26,0.07697916666666664,acetate,3,2021-08-31,2
WT,Stanford + micronutrients,2.26,0.07797916666666664,acetate,3,2021-08-31,2
WT,UCSD + micronutrients,0.0,0.03095833333333331,acetate,1,2021-08-31,2
WT,UCSD + micronutrients,0.0,0.03095833333333331,acetate,1,2021-08-31,2
WT,UCSD + micronutrients,0.12555555555555564,0.03308333333333331,acetate,1,2021-08-31,2
WT,UCSD + micronutrients,0.12555555555555564,0.03308333333333331,acetate,1,2021-08-31,2
WT,UCSD + micronutrients,0.12555555555555564,0.03108333333333331,acetate,1,2021-08-31,2
WT,UCSD + micronutrients,0.12555555555555564,0.03108333333333331,acetate,1,2021-08-31,2
WT,UCSD + micronutrients,0.2511111111111113,0.035958333333333314,acetate,1,2021-08-31,2
WT,UCSD + micronutrients,0.2511111111111113,0.035958333333333314,acetate,1,2021-08-31,2
WT,UCSD + micronutrients,0.2511111111111113,0.03295833333333331,acetate,1,2021-08-31,2
WT,UCSD + micronutrients,0.2511111111111113,0.03295833333333331,acetate,1,2021-08-31,2
WT,UCSD + micronutrients,0.3766666666666669,0.037999999999999964,acetate,1,2021-08-31,2
WT,UCSD + micronutrients,0.3766666666666669,0.037999999999999964,acetate,1,2021-08-31,2
WT,UCSD + micronutrients,0.3766666666666669,0.034999999999999976,acetate,1,2021-08-31,2
WT,UCSD + micronutrients,0.3766666666666669,0.035999999999999976,acetate,1,2021-08-31,2
WT,UCSD + micronutrients,0.5022222222222226,0.04102083333333331,acetate,1,2021-08-31,2
WT,UCSD + micronutrients,0.5022222222222226,0.04102083333333331,acetate,1,2021-08-31,2
WT,UCSD + micronutrients,0.5022222222222226,0.03802083333333331,acetate,1,2021-08-31,2
WT,UCSD + micronutrients,0.5022222222222226,0.03802083333333331,acetate,1,2021-08-31,2
WT,UCSD + micronutrients,0.6277777777777782,0.04397916666666664,acetate,1,2021-08-31,2
WT,UCSD + micronutrients,0.6277777777777782,0.04497916666666664,acetate,1,2021-08-31,2
WT,UCSD + micronutrients,0.6277777777777782,0.040979166666666636,acetate,1,2021-08-31,2
WT,UCSD + micronutrients,0.6277777777777782,0.040979166666666636,acetate,1,2021-08-31,2
WT,UCSD + micronutrients,0.7533333333333339,0.04793749999999998,acetate,1,2021-08-31,2
WT,UCSD + micronutrients,0.7533333333333339,0.04793749999999998,acetate,1,2021-08-31,2
WT,UCSD + micronutrients,0.7533333333333339,0.04393749999999998,acetate,1,2021-08-31,2
WT,UCSD + micronutrients,0.7533333333333339,0.04493749999999998,acetate,1,2021-08-31,2
WT,UCSD + micronutrients,0.8788888888888895,0.050979166666666645,acetate,1,2021-08-31,2
WT,UCSD + micronutrients,0.8788888888888895,0.050979166666666645,acetate,1,2021-08-31,2
WT,UCSD + micronutrients,0.8788888888888895,0.04797916666666664,acetate,1,2021-08-31,2
WT,UCSD + micronutrients,0.8788888888888895,0.04797916666666664,acetate,1,2021-08-31,2
WT,UCSD + micronutrients,1.0044444444444451,0.05499999999999998,acetate,1,2021-08-31,2
WT,UCSD + micronutrients,1.0044444444444451,0.05499999999999998,acetate,1,2021-08-31,2
WT,UCSD + micronutrients,1.0044444444444451,0.05199999999999998,acetate,1,2021-08-31,2
WT,UCSD + micronutrients,1.0044444444444451,0.05199999999999998,acetate,1,2021-08-31,2
WT,UCSD + micronutrients,1.1300000000000008,0.057874999999999996,acetate,1,2021-08-31,2
WT,UCSD + micronutrients,1.1300000000000008,0.057874999999999996,acetate,1,2021-08-31,2
WT,UCSD + micronutrients,1.1300000000000008,0.055874999999999994,acetate,1,2021-08-31,2
WT,UCSD + micronutrients,1.1300000000000008,0.055874999999999994,acetate,1,2021-08-31,2
WT,UCSD + micronutrients,1.2555555555555564,0.06197916666666663,acetate,1,2021-08-31,2
WT,UCSD + micronutrients,1.2555555555555564,0.06197916666666663,acetate,1,2021-08-31,2
WT,UCSD + micronutrients,1.2555555555555564,0.05997916666666665,acetate,1,2021-08-31,2
WT,UCSD + micronutrients,1.2555555555555564,0.05997916666666665,acetate,1,2021-08-31,2
WT,UCSD + micronutrients,1.381111111111112,0.0660208333333333,acetate,1,2021-08-31,2
WT,UCSD + micronutrients,1.381111111111112,0.0660208333333333,acetate,1,2021-08-31,2
WT,UCSD + micronutrients,1.381111111111112,0.0640208333333333,acetate,1,2021-08-31,2
WT,UCSD + micronutrients,1.381111111111112,0.0640208333333333,acetate,1,2021-08-31,2
WT,UCSD + micronutrients,1.5066666666666677,0.06993749999999997,acetate,1,2021-08-31,2
WT,UCSD + micronutrients,1.5066666666666677,0.06993749999999997,acetate,1,2021-08-31,2
WT,UCSD + micronutrients,1.5066666666666677,0.06893749999999997,acetate,1,2021-08-31,2
WT,UCSD + micronutrients,1.5066666666666677,0.06793749999999997,acetate,1,2021-08-31,2
WT,UCSD + micronutrients,1.6322222222222234,0.07387499999999997,acetate,1,2021-08-31,2
WT,UCSD + micronutrients,1.6322222222222234,0.07387499999999997,acetate,1,2021-08-31,2
WT,UCSD + micronutrients,1.6322222222222234,0.07287499999999997,acetate,1,2021-08-31,2
WT,UCSD + micronutrients,1.6322222222222234,0.07287499999999997,acetate,1,2021-08-31,2
WT,UCSD + micronutrients,1.757777777777779,0.07781249999999998,acetate,1,2021-08-31,2
WT,UCSD + micronutrients,1.757777777777779,0.07781249999999998,acetate,1,2021-08-31,2
WT,UCSD + micronutrients,1.757777777777779,0.07781249999999998,acetate,1,2021-08-31,2
WT,UCSD + micronutrients,1.757777777777779,0.07781249999999998,acetate,1,2021-08-31,2
WT,UCSD - micronutrients,0.0,0.031020833333333317,acetate,2,2021-08-31,2
WT,UCSD - micronutrients,0.0,0.030020833333333316,acetate,2,2021-08-31,2
WT,UCSD - micronutrients,0.12555555555555564,0.03297916666666664,acetate,2,2021-08-31,2
WT,UCSD - micronutrients,0.12555555555555564,0.03297916666666664,acetate,2,2021-08-31,2
WT,UCSD - micronutrients,0.2511111111111113,0.03393749999999998,acetate,2,2021-08-31,2
WT,UCSD - micronutrients,0.2511111111111113,0.03193749999999998,acetate,2,2021-08-31,2
WT,UCSD - micronutrients,0.2511111111111113,0.03293749999999998,acetate,2,2021-08-31,2
WT,UCSD - micronutrients,0.2511111111111113,0.03493749999999998,acetate,2,2021-08-31,2
WT,UCSD - micronutrients,0.3766666666666669,0.035979166666666645,acetate,2,2021-08-31,2
WT,UCSD - micronutrients,0.3766666666666669,0.033979166666666644,acetate,2,2021-08-31,2
WT,UCSD - micronutrients,0.3766666666666669,0.033979166666666644,acetate,2,2021-08-31,2
WT,UCSD - micronutrients,0.3766666666666669,0.036979166666666646,acetate,2,2021-08-31,2
WT,UCSD - micronutrients,0.5022222222222226,0.037999999999999964,acetate,2,2021-08-31,2
WT,UCSD - micronutrients,0.5022222222222226,0.035999999999999976,acetate,2,2021-08-31,2
WT,UCSD - micronutrients,0.5022222222222226,0.03699999999999998,acetate,2,2021-08-31,2
WT,UCSD - micronutrients,0.5022222222222226,0.039999999999999966,acetate,2,2021-08-31,2
WT,UCSD - micronutrients,0.6277777777777782,0.03987499999999998,acetate,2,2021-08-31,2
WT,UCSD - micronutrients,0.6277777777777782,0.03787499999999998,acetate,2,2021-08-31,2
WT,UCSD - micronutrients,0.6277777777777782,0.03887499999999998,acetate,2,2021-08-31,2
WT,UCSD - micronutrients,0.6277777777777782,0.04287499999999998,acetate,2,2021-08-31,2
WT,UCSD - micronutrients,0.7533333333333339,0.04297916666666664,acetate,2,2021-08-31,2
WT,UCSD - micronutrients,0.7533333333333339,0.040979166666666636,acetate,2,2021-08-31,2
WT,UCSD - micronutrients,0.7533333333333339,0.04197916666666664,acetate,2,2021-08-31,2
WT,UCSD - micronutrients,0.7533333333333339,0.04597916666666664,acetate,2,2021-08-31,2
WT,UCSD - micronutrients,0.8788888888888895,0.046020833333333316,acetate,2,2021-08-31,2
WT,UCSD - micronutrients,0.8788888888888895,0.044020833333333315,acetate,2,2021-08-31,2
WT,UCSD - micronutrients,0.8788888888888895,0.045020833333333315,acetate,2,2021-08-31,2
WT,UCSD - micronutrients,0.8788888888888895,0.04802083333333332,acetate,2,2021-08-31,2
WT,UCSD - micronutrients,1.0044444444444451,0.04893749999999998,acetate,2,2021-08-31,2
WT,UCSD - micronutrients,1.0044444444444451,0.04693749999999998,acetate,2,2021-08-31,2
WT,UCSD - micronutrients,1.0044444444444451,0.04793749999999998,acetate,2,2021-08-31,2
WT,UCSD - micronutrients,1.0044444444444451,0.05093749999999998,acetate,2,2021-08-31,2
WT,UCSD - micronutrients,1.1300000000000008,0.05187499999999998,acetate,2,2021-08-31,2
WT,UCSD - micronutrients,1.1300000000000008,0.049874999999999975,acetate,2,2021-08-31,2
WT,UCSD - micronutrients,1.1300000000000008,0.050874999999999976,acetate,2,2021-08-31,2
WT,UCSD - micronutrients,1.1300000000000008,0.05487499999999998,acetate,2,2021-08-31,2
WT,UCSD - micronutrients,1.2555555555555564,0.054812499999999986,acetate,2,2021-08-31,2
WT,UCSD - micronutrients,1.2555555555555564,0.052812499999999984,acetate,2,2021-08-31,2
WT,UCSD - micronutrients,1.2555555555555564,0.053812499999999985,acetate,2,2021-08-31,2
WT,UCSD - micronutrients,1.2555555555555564,0.05681249999999999,acetate,2,2021-08-31,2
WT,UCSD - micronutrients,1.3811111111111103,0.05797916666666665,acetate,2,2021-08-31,2
WT,UCSD - micronutrients,1.3811111111111103,0.05597916666666665,acetate,2,2021-08-31,2
WT,UCSD - micronutrients,1.3811111111111103,0.05697916666666665,acetate,2,2021-08-31,2
WT,UCSD - micronutrients,1.3811111111111103,0.05997916666666665,acetate,2,2021-08-31,2
WT,UCSD - micronutrients,1.506666666666666,0.06087499999999997,acetate,2,2021-08-31,2
WT,UCSD - micronutrients,1.506666666666666,0.059875,acetate,2,2021-08-31,2
WT,UCSD - micronutrients,1.506666666666666,0.059875,acetate,2,2021-08-31,2
WT,UCSD - micronutrients,1.506666666666666,0.06287499999999997,acetate,2,2021-08-31,2
WT,UCSD - micronutrients,1.6322222222222216,0.06387499999999997,acetate,2,2021-08-31,2
WT,UCSD - micronutrients,1.6322222222222216,0.06287499999999997,acetate,2,2021-08-31,2
WT,UCSD - micronutrients,1.6322222222222216,0.06287499999999997,acetate,2,2021-08-31,2
WT,UCSD - micronutrients,1.6322222222222216,0.06587499999999998,acetate,2,2021-08-31,2
WT,UCSD - micronutrients,1.7577777777777772,0.06691666666666664,acetate,2,2021-08-31,2
WT,UCSD - micronutrients,1.7577777777777772,0.06591666666666664,acetate,2,2021-08-31,2
WT,UCSD - micronutrients,1.7577777777777772,0.06691666666666664,acetate,2,2021-08-31,2
WT,UCSD - micronutrients,1.7577777777777772,0.06891666666666664,acetate,2,2021-08-31,2
WT,UCSD - micronutrients,1.8833333333333329,0.06997916666666663,acetate,2,2021-08-31,2
WT,UCSD - micronutrients,1.8833333333333329,0.06897916666666663,acetate,2,2021-08-31,2
WT,UCSD - micronutrients,1.8833333333333329,0.06897916666666663,acetate,2,2021-08-31,2
WT,UCSD - micronutrients,1.8833333333333329,0.07197916666666664,acetate,2,2021-08-31,2
WT,UCSD - micronutrients,2.0088888888888885,0.07289583333333331,acetate,2,2021-08-31,2
WT,UCSD - micronutrients,2.0088888888888885,0.07189583333333331,acetate,2,2021-08-31,2
WT,UCSD - micronutrients,2.0088888888888885,0.07189583333333331,acetate,2,2021-08-31,2
WT,UCSD - micronutrients,2.0088888888888885,0.07389583333333331,acetate,2,2021-08-31,2
WT,UCSD - micronutrients,2.134444444444444,0.07581249999999998,acetate,2,2021-08-31,2
WT,UCSD - micronutrients,2.134444444444444,0.07381249999999998,acetate,2,2021-08-31,2
WT,UCSD - micronutrients,2.134444444444444,0.07481249999999998,acetate,2,2021-08-31,2
WT,UCSD - micronutrients,2.134444444444444,0.07681249999999998,acetate,2,2021-08-31,2
WT,UCSD - micronutrients,2.26,0.07874999999999997,acetate,2,2021-08-31,2
WT,UCSD - micronutrients,2.26,0.07674999999999997,acetate,2,2021-08-31,2
WT,UCSD - micronutrients,2.26,0.07774999999999997,acetate,2,2021-08-31,2
WT,UCSD - micronutrients,2.26,0.07974999999999997,acetate,2,2021-08-31,2
WT,UCSD - micronutrients,2.3855555555555554,0.07987499999999999,acetate,2,2021-08-31,2
WT,UCSD - micronutrients,2.3855555555555554,0.07987499999999999,acetate,2,2021-08-31,2
