gene_name,b_number,protein_id,sector
yfjY,b2644,P52140,X
yfjZ,b2645,P52141,X
ygaC,b2671,P0AD53,X
ygaH,b2683,P43667,X
ygaM,b2672,P0ADQ7,X
ygaP,b2668,P55734,X
ygaQ,b4462,P76616,X
ygaU,b2665,P0ADE6,S
ygaV,b2667,P77295,S'
ygaX,b2680,,X
ygaY,b2681,P76628,X
ygaZ,b2682,P76630,X
ygbA,b2732,P25728,X
ygbE,b2749,P46141,X
ygbI,b2735,P52598,X
ygbJ,b2736,Q46888,X
ygbK,b2737,Q46889,X
ygbL,b2738,Q46890,X
ygbM,b2739,Q46891,X
ygbN,b2740,Q46892,X
ygcE,b2776,P55138,X
ygcG,b2778,P55140,X
ygcN,b2766,Q46904,X
ygcO,b2767,Q46905,X
ygcP,b2768,Q46906,X
ygcQ,b2769,Q46907,X
ygcR,b2770,Q46908,X
ygcS,b2771,Q46909,X
ygcU,b4463,Q46911,X
ygcW,b2774,P76633,X
ygdB,b2824,P08370,X
ygdD,b2807,P0ADR2,X
ygdG,b2798,P38506,C'
ygdH,b2795,P0ADR8,S
ygdI,b2809,P65292,S
ygdQ,b2832,P67127,X
ygdR,b2833,P65294,S
ygdT,b4610,,X
ygeA,b2840,P03813,S
ygeF,b2850,Q46786,X
ygeG,b2851,Q46787,X
ygeH,b2852,P76639,X
ygeI,b2853,Q46789,X
ygeK,b2855,Q46791,X
ygeL,b2856,,X
ygeM,b2857,,X
ygeN,b2858,Q46793,X
ygeO,b2859,Q46795,X
ygeP,b2862,Q46796,X
ygeQ,b2863,Q46797,X
ygeR,b2865,Q46798,S
ygeV,b2869,Q46802,X
ygeW,b2870,Q46803,X
ygeX,b2871,P66899,X
ygeY,b2872,P65807,X
ygfB,b2909,P0A8C4,A'
ygfF,b2902,P52037,X
ygfI,b2921,P52044,X
ygfK,b2878,Q46811,X
ygfM,b2880,P64557,X
ygfS,b2886,Q46819,X
ygfT,b2887,Q46820,X
ygfZ,b2898,P0ADE8,S
yggC,b2928,P11664,X
yggD,b2929,P11663,X
yggE,b2922,P0ADS6,S
yggF,b2930,P21437,X
yggI,b2944,P39902,X
yggL,b2959,P38521,S
yggM,b2956,P46142,X
yggN,b2958,P0ADS9,S
yggP,b4465,P52048,X
yggR,b2950,P52052,X
yggS,b2951,P67080,R
yggT,b2952,P64564,S'
yggU,b2953,P52060,A'
yggW,b2955,P52062,X
yggX,b2962,P0A8P3,C
yghA,b3003,P0AG84,A'
yghB,b3009,P0AA60,X
yghD,b2968,Q46832,X
yghE,b2969,Q46833,X
yghF,b2970,Q46834,X
yghG,b2971,Q46835,X
yghJ,b4466,P0CK95,X
yghO,b2981,Q46840,X
yghQ,b2983,Q46841,X
yghR,b2984,P64572,X
yghS,b2985,Q46843,X
yghT,b2986,Q46844,X
yghU,b2989,Q46845,S
yghW,b2998,P64574,X
yghX_1,b2999,,X
yghX_2,b3000,,X
yghZ,b3001,Q46851,C
ygiA,b3036,Q79CP2,X
ygiB,b3037,P0ADT2,S
ygiC,b3038,P0ADT5,U
ygiD,b3039,P24197,X
ygiF,b3054,P30871,A'
ygiH,b3059,P60782,X
ygiL,b3043,P39834,X
ygiM,b3055,P0ADT8,S
ygiN,b3029,P0ADU2,S'
ygiQ,b4469,Q46861,X
ygiS,b3020,Q46863,S'
ygiV,b3023,Q46866,X
ygiW,b3024,P0ADU5,S'
ygiZ,b3027,Q46867,X
ygjH,b3074,P42589,X
ygjI,b3078,P42590,X
ygjJ,b3079,P42591,X
ygjK,b3080,P42592,X
ygjP,b3085,P42597,X
ygjQ,b3086,P42598,X
ygjR,b3087,P42599,X
ygjV,b3090,P42603,X
yhaB,b3120,P11865,X
yhaC,b3121,P11864,X
yhaH,b3103,P64590,X
yhaI,b3104,P64592,X
yhaJ,b3105,P67660,S
yhaK,b3106,P42624,X
yhaL,b3107,P42625,X
yhaM,b4470,P42626,X
yhaO,b3110,P42628,X
yhaV,b3130,P64594,X
yhbE,b3184,P0AA73,X
yhbO,b3153,P45470,X
yhbP,b3154,P67762,X
yhbQ,b3155,P45472,X
yhbS,b3156,P63417,S'
yhbT,b3157,P64599,R
yhbU,b3158,P45527,X
yhbV,b3159,P45475,X
yhbW,b3160,P0ADV5,X
yhbX,b3173,P42640,X
yhbY,b3180,P0AGK4,A'
yhcA,b3215,P28722,X
yhcB,b3233,P0ADW3,S'
yhcC,b3211,P0ADW6,X
yhcD,b3216,P45420,X
yhcF,b3219,P45422,X
yhcG,b3220,P45423,X
yhcH,b3221,P45424,X
yhcN,b3238,P64614,X
yhcO,b3239,P64616,X
yhdE,b3248,P25536,R
yhdH,b3253,P26646,S
yhdJ,b3262,P28638,X
yhdN,b3293,P36677,X
yhdP,b4472,P46474,A
yhdT,b3257,P45566,X
yhdU,b3263,P64619,X
yhdV,b3267,P64622,X
yhdW,b3268,P45766,S
yhdX,b3269,P45767,X
yhdY,b3270,P45768,X
yhdZ,b3271,P45769,X
yheO,b3346,P64624,S
yheS,b3352,P63389,R
yheT,b3353,P45524,X
yheU,b3354,P67624,X
yheV,b4551,P0ADW8,X
yhfA,b3356,P0ADX1,S
yhfG,b3362,P0ADX5,X
yhfK,b3358,P45537,X
yhfL,b3369,P64627,X
yhfS,b3376,P45545,X
yhfT,b3377,P45546,X
yhfU,b3378,P64631,X
yhfW,b3380,P45549,X
yhfX,b3381,P45550,X
yhfY,b3382,P45551,X
yhfZ,b3383,P45552,X
yhgA,b3411,P31667,X
yhgE,b3402,P45804,X
yhgF,b3407,P46837,U
yhgN,b3434,P67143,X
yhhA,b3448,P0ADX7,X
yhhH,b3483,P28911,X
yhhI,b3484,P28912,X
yhhJ,b3485,P0AGH1,X
yhhL,b3466,P37614,X
yhhM,b3467,P37615,S'
yhhN,b3468,P0ADI9,X
yhhQ,b3471,P37619,X
yhhS,b3473,P37621,X
yhhT,b3474,P0AGM0,X
yhhW,b3439,P46852,S
yhhX,b3440,P46853,A
yhhY,b3441,P46854,X
yhhZ,b3442,P46855,X
yhiD,b3508,P0AFV2,X
yhiI,b3487,P37626,S
yhiJ,b3488,P37627,X
yhiK,b3489,,X
yhiL,b3490,P37629,X
yhiM,b3491,P37630,X
yhiN,b3492,P37631,A
yhiS_1,b3504,,X
yhjA,b3518,P37197,X
yhjB,b3520,P37640,X
yhjC,b3521,P37641,X
yhjD,b3522,P37642,S
yhjE,b3523,P37643,U
yhjG,b3524,P37645,X
yhjJ,b3527,P37648,S'
yhjR,b3535,P0ADJ3,X
yhjV,b3539,P37660,X
yhjX,b3547,P37662,X
yhjY,b3548,P37663,X
yiaA,b3562,P0ADJ8,X
yiaB,b3563,P11286,X
yiaC,b3550,P37664,X
yiaD,b3552,P37665,R
yiaF,b3554,P0ADK0,S'
yiaG,b3555,P0A9V5,X
yiaJ,b3574,P37671,A'
yiaK,b3575,P37672,X
yiaL,b3576,P37673,X
yiaM,b3577,P37674,X
yiaN,b3578,P37675,X
yiaO,b3579,P37676,X
yiaT,b3584,P37681,X
yiaU,b3585,P37682,X
yiaV,b3586,P37683,X
yiaW,b3587,P0ADK4,X
yiaY,b3589,P37686,X
yibA,b3594,P0ADK6,X
yibF,b3592,P0ACA1,S
yibG,b3596,P32106,X
yibH,b3597,P0AFV0,X
yibI,b3598,P32108,X
yibJ,b3595,P32109,X
yibL,b3602,P0ADK8,R
yibN,b3611,P0AG27,R
yibQ,b3614,P37691,X
yibT,b4554,Q2M7R5,S'
yibV,b4615,A5A625,X
yicC,b3644,P23839,S'
yicG,b3646,P0AGM2,X
yicH,b3655,P31433,S'
yicI,b3656,P31434,X
yicJ,b3657,P31435,X
yicL,b3660,P31437,X
yicN,b3663,P0ADL3,X
yicR,b3638,P25531,X
yicS,b4555,Q2M7X4,X
yidA,b3697,P0A8Y5,A
yidB,b3698,P09996,X
yidC,b3705,P25714,R
yidD,b4557,P0A8C8,X
yidE,b3685,P60872,X
yidF,b3674,P31443,X
yidG,b3675,P0ADL6,X
yidH,b3676,P0ADM0,X
yidI,b3677,P31446,X
yidJ,b3678,P31447,X
yidK,b3679,P31448,X
yidL,b3680,P31449,X
yidP,b3684,P31453,X
yidQ,b3688,P0ADM4,S
yidR,b3689,P31455,S
yidX,b3696,P0ADM6,X
yidZ,b3711,P31463,X
yieE,b3712,P0ADM8,X
yieF,b3713,P0AGE6,S
yieH,b3715,P31467,X
yieK,b3718,P31470,X
yieL,b3719,P31471,X
yieP,b3755,P31475,A'
yifB,b3765,P22787,X
yifE,b3764,P0ADN2,C'
yifK,b3795,P27837,C
yifL,b4558,P0ADN6,S'
yifN,b3777,P56259,X
yifO,b3776,,X
yigA,b3810,P23305,A
yigB,b3812,P0ADP0,S
yigE,b4482,P27840,X
yigF,b3817,P27842,X
yigG,b3818,P27843,X
yigI,b3820,P0ADP2,S
yigL,b3826,P27848,A
yigM,b3827,P0ADP5,X
yigZ,b3848,P27862,X
yihA,b3865,P0A6P7,S'
yihD,b3858,P0ADP9,S
yihF,b3861,P32128,X
yihG,b3862,P32129,X
yihI,b3866,P0A8H6,R
yihL,b3872,P0ACM9,X
yihM,b3873,P32134,X
yihN,b3874,P32135,X
yihO,b3876,P32136,X
yihP,b3877,P32137,X
yihQ,b3878,P32138,X
yihR,b3879,P32139,X
yihS,b3880,P32140,X
yihT,b3881,P32141,X
yihU,b3882,P0A9V8,X
yihV,b3883,P32143,X
yihW,b3884,P32144,C'
yihX,b3885,P0A8Y3,S'
yihY,b3886,P0A8K8,X
yiiD,b3888,P0ADQ2,S
yiiE,b3889,P0ADQ5,X
yiiF,b3890,P0AFU6,X
yiiG,b3896,P32151,X
yiiM,b3910,P32157,S
yiiQ,b3920,P32160,S
yiiR,b3921,P0AF34,X
yiiS,b3922,P32162,S
yiiX,b3937,P32167,X
yijD,b3964,P0AF40,X
yijE,b3943,P0ABT8,X
yijF,b3944,P32668,X
yijO,b3954,P32677,X
yjaA,b4011,P09162,X
yjaB,b4012,P09163,X
yjaG,b3999,P32680,R
yjaH,b4001,P32681,X
yjaZ,b3989,P27375,X
yjbB,b4020,P0AF43,S'
yjbD,b4023,P32685,S
yjbE,b4026,P0AF45,X
yjbF,b4027,P32687,X
yjbG,b4028,P32688,X
yjbH,b4029,P32689,X
yjbI,b4038,P32690,X
yjbJ,b4045,P68206,X
yjbL,b4047,P32693,X
yjbM,b4048,P32694,X
yjbQ,b4056,P0AF48,S
yjbR,b4057,P0AF50,S
yjbS,b4621,P58036,X
yjbT,b4620,A5A628,X
yjcB,b4060,P32700,X
yjcE,b4065,P32703,X
yjcF,b4066,P32704,X
yjcH,b4068,P0AF54,X
yjcO,b4078,P0AF56,X
yjcS,b4083,P32717,X
yjcZ,b4110,P39267,C
yjdC,b4135,P0ACU7,S
yjdF,b4121,P39270,X
yjdI,b4126,P0AF59,X
yjdJ,b4127,P39274,X
yjdM,b4108,P0AFJ1,R
yjdN,b4107,P16681,X
yjdP,b4487,Q6BEX5,X
yjeF,b4167,P31806,S'
yjeH,b4141,P39277,X
yjeI,b4144,P0AF70,S
yjeJ,b4145,P39279,X
yjeM,b4156,P39282,X
yjeN,b4157,P39283,X
yjeO,b4158,P39284,X
yjeT,b4176,P0AF73,X
yjeV,b4670,C1P621,X
yjfC,b4186,P33222,X
yjfF,b4231,P37772,X
yjfI,b4181,P0AF76,X
yjfJ,b4182,P0AF78,X
yjfK,b4183,P39293,X
yjfL,b4184,P0AF80,X
yjfM,b4185,P39295,X
yjfN,b4188,P0AF82,X
yjfP,b4190,P39298,S
yjfY,b4199,P0AF86,X
yjfZ,b4204,P39308,X
yjgA,b4234,P0A8X0,A'
yjgH,b4248,P39332,X
yjgL,b4253,P39336,X
yjgM,b4256,P39337,X
yjgN,b4257,P39338,X
yjgR,b4263,P39342,S'
yjgW,b4274,Q9Z3A0,X
yjgX_1,b4276,P39349,X
yjgX_2,b4275,,X
yjgZ,b4277,P39351,X
yjhB,b4279,P39352,X
yjhC,b4280,P39353,S
yjhD,b4281,P39354,X
yjhE,b4282,P39355,X
yjhF,b4296,P39357,X
yjhG,b4297,P39358,X
yjhH,b4298,P39359,X
yjhI,b4299,P39360,X
yjhP,b4306,P39367,X
yjhQ,b4307,P39368,X
yjhR,b4308,P39369,X
yjhU,b4295,P39356,S
yjhV,b4286,,X
yjiA,b4352,P24203,S
yjiC,b4325,P39374,X
yjiG,b4329,P0AEH8,X
yjiH,b4330,P39379,X
yjiJ,b4332,P39381,X
yjiK,b4333,P39382,X
yjiL,b4334,P39383,X
yjiM,b4335,P39384,X
yjiN,b4336,P39385,X
yjiP,b4338,P39387,X
yjiQ,b4339,,X
yjiR,b4340,P39389,X
yjiS,b4341,P39390,X
yjiT,b4342,P39391,X
yjiV,b4486,P39393,X
yjiX,b4353,P0ADC8,X
yjiY,b4354,P39396,U
yjjA,b4360,P18390,A'
yjjB,b4363,P0ADD2,X
yjjG,b4374,P0A8Y1,X
yjjI,b4380,P37342,X
yjjJ,b4385,P39410,X
yjjP,b4364,P0ADD5,X
yjjQ,b4365,P0ADD7,X
yjjU,b4377,P39407,X
yjjV,b4378,P39408,S'
yjjW,b4379,P39409,X
yjjX,b4394,P39411,S
yjjY,b4402,P0ADD9,X
yjjZ,b4567,P55914,X
yjtD,b4403,P37005,S'
ykfA,b0253,P75678,X
ykfB,b0250,P77162,X
ykfC,b0258,Q47688,X
ykfF,b0249,P75677,X
ykfG,b0247,Q47685,X
ykfH,b4504,Q9XB42,X
ykfI,b0245,P77692,X
ykfJ,b0235,P75675,X
ykfM,b4586,A5A605,X
ykgA,b0300,P77601,X
ykgE,b0306,P77252,X
ykgF,b0307,P77536,X
ykgG,b0308,P77433,X
ykgH,b0310,P77180,X
ykgJ,b0288,P0AAL9,X
ykgL,b0295,P56257,X
ykgM,b0296,P0A7N1,X
ykgN,b4505,Q79E92,X
ykgO,b4506,Q2EEQ2,X
ykgR,b4671,C1P5Z8,X
ykiA,b0392,P75704,X
ylaC,b0458,P0AAS0,X
ylbE,b4572,P77129,X
ylbF,b0520,P0AAS5,X
ylbG,b0502,P77688,X
ylbH,b0499,P77759,X
ylcG,b4509,Q47272,X
ylcH,b4588,Q47268,X
ylcI,b4589,A5A607,X
yliI,b0837,P75804,X
ymbA,b0952,P0AB10,S'
ymcE,b0991,P0AAA5,X
ymdA,b1044,P75917,X
ymdB,b1045,P0A8D6,S
ymdE,b1028,Q7DFV4,X
ymdF,b4518,P56614,X
ymfA,b1122,P75962,X
ymfD,b1137,P75967,X
ymfE,b1138,P75968,X
ymfH,b1142,,X
ymfI,b1143,P75972,X
ymfJ,b1144,P75973,X
ymfK,b1145,P75974,C'
ymfL,b1147,P75976,X
ymfM,b1148,P75977,X
ymfN,b1149,P75978,X
ymfO,b1151,P75980,X
ymfP,b1152,P75981,R
ymfQ,b1153,P75982,X
ymfR,b1150,P75979,X
ymfS,b1155,P09154,X
ymfT,b1146,P75975,X
ymgA,b1165,P75992,X
ymgC,b1167,P75994,X
ymgD,b1171,P0AB46,U
ymgE,b1195,P76011,X
ymgF,b4520,P58034,X
ymgG,b1172,Q7DFV3,X
ymgH,b4521,,X
ymgI,b4593,A5A611,X
ymgJ,b4594,A5A612,X
ymiA,b4522,P0CB62,X
ymjA,b1295,P0ACV8,X
ymjB,b4524,,X
ymjC,b4525,Q2EER5,X
ymjD,b4673,P0CD93,X
ynaA,b1368,P77658,X
ynaE,b1375,P76073,X
ynaI,b1330,P0AEB5,X
ynaJ,b1332,P64445,X
ynaK,b1365,P76068,X
ynbA,b1408,P76090,X
ynbB,b1409,P76091,X
ynbC,b1410,P76092,X
ynbD,b1411,P76093,X
ynbE,b1382,P64448,A'
ynbG,b4674,C1P600,X
yncD,b1451,P76115,X
yncE,b1452,P76116,A
yncG,b1454,P76117,X
yncH,b1455,P76118,X
yncI,b1458,P76119,X
yncJ,b1436,P64459,X
yncK_1,b4530,,X
yncK_2,b4531,,X
yncL,b4598,A5A615,X
yncM,b1459,,X
yneE,b1520,P76146,X
yneG,b1523,P76148,X
yneH,b1524,P0A6W0,R
yneJ,b1526,P77309,X
yneK,b1527,P76150,X
yneL,b1506,P76138,X
yneM,b4599,A5A616,X
ynfA,b1582,P76169,X
ynfB,b1583,P76170,S'
ynfC,b1585,P67553,X
ynfD,b1586,P76172,S'
ynfE,b1587,P77374,X
ynfF,b1588,P77783,X
ynfG,b1589,P0AAJ1,X
ynfH,b1590,P76173,X
ynfK,b1593,P0A6E9,X
ynfL,b1595,P77559,X
ynfM,b1596,P43531,X
ynfN,b1551,P76157,X
ynfO,b4533,Q2EES0,X
ynfP,b4534,,X
ynhF,b4602,A5A618,X
yniA,b1725,P77739,S
yniB,b1726,P76208,X
yniC,b1727,P77247,A
yniD,b4535,Q2EES1,X
ynjA,b1753,P76222,X
ynjB,b1754,P76223,A
ynjC,b1755,P76224,X
ynjD,b1756,P76909,X
ynjE,b1757,P78067,C'
ynjF,b1758,P76226,X
ynjH,b1760,P76227,C
ynjI,b1762,P76228,X
yoaA,b1808,P76257,X
yoaB,b1809,P0AEB7,S
yoaC,b1810,P64490,S
yoaE,b1816,P0AEC0,X
yoaF,b1793,P64493,X
yoaG,b1796,P64496,X
yoaH,b1811,P67338,X
yoaI,b1788,P76239,X
yoaJ,b4675,C1P603,X
yoaK,b4676,C1P602,X
yobA,b1841,P0AA57,A'
yobB,b1843,P76280,X
yobD,b1820,P67601,U
yobF,b1824,P64508,X
yobH,b4536,Q2MB16,X
yobI,b4677,C1P604,X
yodB,b1974,P76345,X
yodC,b1957,P64517,X
yodD,b1953,P64519,X
yoeA,b1995,P76356,X
yoeB,b4539,P69348,X
yoeE,b1998,,X
yoeF,b4538,Q2EES3,X
yoeI,b4678,C1P606,X
yohC,b2135,P0AD17,X
yohD,b2136,P33366,X
yohF,b2137,P33368,X
yohH,b2139,,X
yohJ,b2141,P60632,X
yohK,b2142,P0AD19,X
yohO,b4542,Q2EES6,X
yohP,b4679,C1P609,X
yojI,b2211,P33941,A'
yojO,b4604,A5A619,X
ypaB,b4605,,X
ypdA,b2380,P0AA93,X
ypdB,b2381,P0AE39,S
ypdC,b2382,P77396,X
ypdE,b2384,P77585,X
ypdF,b2385,P76524,X
ypdI,b2376,O32528,X
ypdJ,b4545,Q2EET0,X
ypdK,b4680,C1P610,X
ypeA,b2434,P76539,S'
ypeB,b4546,P0AD40,X
ypeC,b2390,P64542,X
ypfG,b2466,P76559,X
ypfH,b2473,P76561,S'
ypfJ,b2475,P64429,S'
ypfM,b4606,A5A621,X
ypfN,b4547,Q2EET2,X
yphA,b2543,P0AD47,X
yphB,b2544,P76584,X
yphC,b2545,P77360,X
yphD,b2546,P77315,X
yphE,b2547,P77509,X
yphF,b2548,P77269,X
yphG,b2549,P76585,X
yphH,b2550,P76586,U
ypjA,b2647,P52143,X
ypjB,b2649,P76612,X
ypjC,b2650,P76613,X
ypjD,b2611,P64432,X
ypjF,b2646,Q46953,X
ypjJ,b4548,P58033,X
ypjK,b2635,P52134,X
ypjM_1,b2641,,X
ypjM_2,b2640,,X
ypjM_3,b2639,,X
yqaA,b2689,P0ADR0,X
yqaB,b2690,P77475,U
yqaE,b2666,P0AE42,X
yqcA,b2790,P65367,S
yqcC,b2792,Q46919,U
yqcE,b2775,P77031,X
yqcG,b4682,C1P612,X
yqeA,b2874,Q46807,X
yqeB,b2875,Q46808,X
yqeC,b2876,Q46809,X
yqeF,b2844,Q46939,C
yqeG,b2845,P63340,X
yqeH,b2846,Q46941,X
yqeI,b2847,Q46942,X
yqeJ,b2848,Q46943,X
yqeK,b2849,P77136,X
yqeL,b4683,C1P613,X
yqfA,b2899,P67153,X
yqfB,b2900,P67603,S'
yqfE,b2915,P64562,X
yqfG,b4684,C1P614,X
yqgA,b2966,Q46831,X
yqgB,b2939,P64567,X
yqgC,b2940,P64570,X
yqgD,b2941,P46879,X
yqgE,b2948,P0A8W5,R
yqgF,b2949,P0A8I1,A'
yqhA,b3002,P67244,S'
yqhC,b3010,Q46855,X
yqhD,b3011,Q46856,A
yqhG,b3013,Q46858,X
yqhH,b3014,P65298,X
yqiA,b3031,P0A8Z7,S
yqiB,b3033,P0ADU7,X
yqiC,b3042,Q46868,A'
yqiG,b3046,P76655,X
yqiH,b3047,P77616,X
yqiI,b3048,P76656,X
yqiJ,b3050,P76657,X
yqiK,b3051,P77306,X
yqjA,b3095,P0AA63,X
yqjC,b3097,P42616,X
yqjD,b3098,P64581,S
yqjE,b3099,P64585,X
yqjF,b3101,P42619,X
yqjG,b3102,P42620,X
yqjH,b3070,Q46871,U
yqjI,b3071,P64588,R
yqjK,b3100,Q47710,S
yraH,b3142,P42913,X
yraI,b3143,P42914,X
yraJ,b3144,P42915,X
yraK,b3145,P43319,X
yraN,b3148,P45465,X
yraP,b3150,P64596,S'
yraQ,b3151,P45468,S'
yraR,b3152,P45469,S
yrbG,b3196,P45394,X
yrbL,b3207,P64610,X
yrbN,b4685,C1P618,X
yrdA,b3279,P0A9W9,A'
yrdB,b3280,P45795,X
yrdD,b3283,P45771,X
yrfF,b3398,P45800,S'
yrfG,b3399,P64636,U
yrhA,b3443,P46856,X
yrhB,b3446,P46857,X
yrhD,b4612,P58037,X
ysaA,b3573,P56256,X
ysaB,b4553,Q2M7M3,X
ysgA,b3830,P56262,S
yshB,b4686,C1P620,X
ytcA,b4622,A5A630,X
ytfA,b4205,P39309,X
ytfB,b4206,P39310,S'
ytfE,b4209,P69506,X
ytfF,b4210,P39314,X
ytfH,b4212,P0ACN2,X
ytfI,b4215,P39317,X
ytfJ,b4216,P39187,X
ytfK,b4217,P0ADE2,X
ytfL,b4218,P0AE45,X
ytfP,b4222,P0AE48,A'
ytfQ,b4227,P39325,S'
ytfR,b4485,Q6BEX0,X
ytfT,b4230,P39328,X
ythA,b4655,A8DYQ1,X
ytjA,b4568,Q2M5U1,X
ytjB,b4387,P0AGC7,X
ytjC,b4395,P0A7A2,C'
yzcX,b3808,,X
yzfA,b4223,,X
yzgL,b3427,P76692,X
zapA,b2910,P0ADS2,S'
zapB,b3928,P0AF36,A'
zapC,b0946,P75862,X
zapD,b0102,P36680,R
zapE,b3232,P64612,S
zinT,b1973,P76344,A
zipA,b2412,P77173,C'
zitB,b0752,P75757,X
zntA,b3469,P37617,X
zntR,b3292,P0ACS5,X
znuA,b1857,P39172,R
znuB,b1859,P39832,X
znuC,b1858,P0A9X1,C'
zraP,b4002,P0AAA9,X
zraR,b4004,P14375,X
zraS,b4003,P14377,X
zupT,b3040,P0A8H3,X
zur,b4046,P0AC51,S'
zwf,b1852,P0AC53,A'