clock_time,water_source,micronutrients,od_600nm
10:57,CCSR,TRUE,0.029
10:57,CCSR,FALSE,0.01
10:58,HPLC,TRUE,0.015
10:58,HPLC,FALSE,0.017
10:59,LAB,TRUE,0.024
10:59,LAB,FALSE,0.03
11:31,CCSR,TRUE,0.019
11:32,CCSR,FALSE,0.015
11:32,HPLC,TRUE,0.016
11:33,HPLC,FALSE,0.022
11:33,LAB,TRUE,0.03
11:33,LAB,FALSE,0.038
12:10,CCSR,TRUE,0.021
12:10,CCSR,FALSE,0.015
12:11,HPLC,TRUE,0.019
12:11,HPLC,FALSE,0.025
12:12,LAB,TRUE,0.043
12:12,LAB,FALSE,0.051
12:46,CCSR,TRUE,0.027
12:46,CCSR,FALSE,0.02
12:46,HPLC,TRUE,0.023
12:47,HPLC,FALSE,0.035
12:47,LAB,TRUE,0.055
12:48,LAB,FALSE,0.071
13:34,CCSR,TRUE,0.032
13:34,CCSR,FALSE,0.027
13:35,HPLC,TRUE,0.026
13:35,HPLC,FALSE,0.047
13:35,LAB,TRUE,0.081
13:36,LAB,FALSE,0.104
13:56,CCSR,TRUE,0.038
13:57,CCSR,FALSE,0.03
13:57,HPLC,TRUE,0.035
13:58,HPLC,FALSE,0.057
13:58,LAB,TRUE,0.098
13:58,LAB,FALSE,0.125
14:34,CCSR,TRUE,0.038
14:35,CCSR,FALSE,0.041
14:35,HPLC,TRUE,0.041
14:35,HPLC,FALSE,0.062
14:36,LAB,TRUE,0.125
14:36,LAB,FALSE,0.162
15:22,CCSR,TRUE,0.045
15:23,CCSR,FALSE,0.046
15:23,HPLC,TRUE,0.038
15:24,HPLC,FALSE,0.078
15:24,LAB,TRUE,0.173
15:25,LAB,FALSE,0.245
15:50,CCSR,TRUE,0.051
15:51,CCSR,FALSE,0.054
15:51,HPLC,TRUE,0.044
15:52,HPLC,FALSE,0.088
15:52,LAB,TRUE,0.216
15:53,LAB,FALSE,0.31
16:27,CCSR,TRUE,0.065
16:27,CCSR,FALSE,0.065
16:28,HPLC,TRUE,0.054
16:28,HPLC,FALSE,0.112
16:28,LAB,TRUE,0.275
16:29,LAB,FALSE,0.389
17:00,CCSR,TRUE,0.071
17:00,CCSR,FALSE,0.078
17:00,HPLC,TRUE,0.061
17:01,HPLC,FALSE,0.129
17:01,LAB,TRUE,0.34
17:02,LAB,FALSE,0.489
17:33,CCSR,TRUE,0.083
17:34,CCSR,FALSE,0.097
17:35,HPLC,TRUE,0.069
17:35,HPLC,FALSE,0.149
17:36,LAB,FALSE,0.436
17:48,CCSR,TRUE,0.094
17:48,CCSR,FALSE,0.094
17:49,HPLC,TRUE,0.083
17:49,HPLC,FALSE,0.154
18:18,CCSR,TRUE,0.094
18:18,CCSR,FALSE,0.116
18:19,HPLC,TRUE,0.088
18:19,HPLC,FALSE,0.177
18:32,CCSR,TRUE,0.108
18:32,CCSR,FALSE,0.132
18:33,HPLC,TRUE,0.083
18:33,HPLC,FALSE,0.184